,gender,age,id,became_member_on,income
3497,M,47,996fb8e62375461f8f6ca0cf7d2eeaa3,20180607,39000.0
3500,F,69,476546d2bdc34a8fbb07bb916f1505aa,20170722,33000.0
3503,M,18,f18791f54d0d41ba8350df76d675f359,20180505,37000.0
3504,M,20,63f8b1b31337467389f1bb10eb8ee300,20171215,31000.0
3506,M,23,9b7cf5a50ea1407c84b87fdea5459b87,20180117,35000.0
3507,F,57,d0532474533d4dcaa552813f36898506,20160307,34000.0
3509,M,97,235a873ed1d14c9c9d2ecb28aa27b0cf,20170821,31000.0
3515,M,39,62b40d5ce00d410eac78e25c8e5a4eaf,20160125,31000.0
3528,F,73,a521e0047e994449acef4703628cff7c,20180317,37000.0
3554,F,40,e4c05dd9bcbb4945af5727d4d61b8fba,20180620,38000.0
3575,M,61,c3d7056b8e6c46d78d6baf651c3f9ca0,20180118,33000.0
3591,F,92,f94d9d9d979649799c38a27971dc9ca5,20171207,37000.0
3592,M,50,d32dc2cb18fa40eabb6c5f82339becb8,20180118,38000.0
3606,M,58,e63bbd64cf5e43baa4dd9ef77c99f050,20140418,39000.0
3611,M,56,055fe39c422643d89a93cf05cf610b2e,20150920,38000.0
3613,M,90,1c8b3756397541c7b4dade350741a9ed,20180409,38000.0
3624,M,67,7ec8a869c7714a429adeede431a04881,20170812,34000.0
3631,M,67,314d862acaa645b7ac4ab4cb9c966854,20160720,38000.0
3633,M,43,28b3a891cbfa45b1b4f242a8ae561cca,20170830,34000.0
3641,M,27,894669a32ec14a2fac839e636f807768,20160531,32000.0
3643,M,43,7b6f942b3a5c48ebab92b47f4608e171,20171002,34000.0
3672,F,34,b56a93598fa5432b9d258e1a831888cd,20171103,33000.0
3683,F,36,cc8ddacae6e84c6e81f19c2b70306b6f,20171009,35000.0
3693,M,35,4d6950947fb448e3891542dc26a2c389,20160316,35000.0
3725,M,56,38fe17dd8f41408385bd67c0d06df2d1,20171111,30000.0
3729,F,28,8184c15e16704a54a32705a4f10caec6,20171217,32000.0
3735,F,35,87deb7387c0f4ef7bbf8239665a23e1b,20151029,33000.0
3738,M,30,cd0cb9d1599c47a0bb69c49d19c2117f,20180605,31000.0
3739,M,58,93599a777bc34536a4703b63493a0ea6,20180309,33000.0
3747,M,27,4a77318aff504e48837d945af45d6727,20180211,32000.0
3754,M,27,5258f977542b49e5ab596382341b3a29,20171201,37000.0
3755,M,52,af51e40269e14424a5f08ed86a4d6437,20150228,37000.0
3758,M,48,9515707a7a584c8286cee12cdaf7668e,20170820,32000.0
3768,F,73,f81cf50a115f4042b0fe3f09265a56d7,20180226,36000.0
3770,M,36,b3558a16618341869b830ab77d6443a6,20171214,38000.0
3777,M,61,3a4d1e41dbc143119460fd35f25cec31,20180226,35000.0
3798,M,55,a4ab755ad5d748ba8bb1bf32b6096e83,20170930,32000.0
3802,F,58,ff7cb44e72db4112b270560686f97a23,20151102,39000.0
3829,M,36,d2f79806cdbc4b68aea25148dcd8d551,20170914,36000.0
3833,M,22,a25edbd49eee4c5cbdaf2930cefb4634,20160428,35000.0
3839,F,94,a104f5f8f470487693d626d36317dcf7,20160929,31000.0
3860,F,65,ce41b96c7ef1426b929b4f6c494cd5bd,20140308,39000.0
3864,M,54,1c915596914b4931b6dd2386601ae325,20180429,35000.0
3868,M,49,08243bf7c8df469591c0b9d29074463d,20170218,39000.0
3870,M,57,1a44317508de4e529c5f5e65b583a971,20170320,31000.0
3873,F,35,b743f13d0b9f4ae0b529bb65615f7e52,20160430,34000.0
3875,M,33,2fc9777afb5a4dae94037543a9dfc4d2,20160709,32000.0
3881,M,63,e28c08db1c7148e3b980903f1eda597c,20160408,38000.0
3887,M,78,505672e0c12e4f77a4461641b004bd5d,20171209,33000.0
3890,M,68,9c400c1288894ae1b93997ad5393baba,20170826,37000.0
3895,M,42,fd3e1ba4df4b4db0af9cf727eb1651ac,20151224,36000.0
3902,M,18,13e0d788744c413e99fe60f4f571233b,20160603,36000.0
3912,M,47,2f91bf9a9b3f4ec79d586373327ee0b7,20180206,39000.0
3914,M,68,df31a3f6f0804441aba8c5abc392f753,20170620,33000.0
3917,M,38,b14675e3d5c34b508ff6e6686d665794,20151019,38000.0
3921,M,24,7c32f0e77e6d4b1d894030cb2de2c304,20180608,35000.0
3924,F,54,7529b345609843b18d2cdd10ab4c0a8e,20180527,36000.0
3927,M,48,f8f76e7cdf4c42e2a8c08c225ee7e038,20171025,37000.0
3953,F,62,a42ed50acc4d4b25bca647c9e0b916ad,20161017,33000.0
3955,M,22,af41ddef5c8149138aba2cc20a0db9a1,20160211,33000.0
3956,F,63,87ef3f7155fb4ea9b5e1249c22d0240a,20170808,34000.0
3957,M,48,a68b9966964240caa919b0c08c201904,20180112,37000.0
3959,M,75,e46c47a54e254756bbc5c30ec010cc37,20170828,36000.0
3976,M,58,a397c7e5c6ca48a1b24e1ef84baa15e8,20180507,36000.0
3979,F,38,59b7fa7b6be14a97b04cd274b2bdcf0a,20171121,38000.0
3996,M,46,43a5c67728a441a78664d2dcbb6a265b,20150224,39000.0
4012,M,59,97ec7fd299d94efdb09450d8482ee28c,20160124,38000.0
4013,F,39,2349cf9c53bb49e09b23e4684cdcd86a,20161116,32000.0
4034,M,52,46889a6766494b97aafbf9d75505e45a,20131223,35000.0
4049,M,31,2366b169d6de42f084c7a64c1b938f9d,20160514,35000.0
4059,M,50,5ec9aeb4a48e4c5abfa6732d73ca3f7b,20151124,37000.0
4073,F,42,2ac20da42e704b4bae0a799018096259,20180223,39000.0
4078,F,47,11bfe79e5bdb4db7b08b0a8d0314cc2f,20171221,33000.0
4087,M,48,8dc160d00632491db79ee572a13cb7cf,20180611,37000.0
4093,M,61,cd9df56e15224a7ca6fadc235988f27f,20180525,35000.0
4127,F,78,053ba80f39aa4e4394ecf2d64d8ca85f,20130824,36000.0
4137,F,43,b973a98befba4c57be97d63c5f07cb12,20171026,33000.0
4177,M,33,333cf5c11c9744eab6382fd046bb1453,20170821,31000.0
4178,M,37,63674022d72c4993a8f6c5edcbf01dcc,20140522,38000.0
4180,F,90,877ad365e45440a1beeaefe2a7ea717b,20161011,33000.0
4198,M,30,36099f26eb164d25b1214e7fbe508200,20160919,39000.0
4202,M,55,78787ca4fcff43b99e908dd217de8562,20140712,39000.0
4217,F,47,6c2c85ad5b244122a70425e6be34e0fd,20150810,30000.0
4232,F,51,9a800ada591146829cb314bbba5e0467,20180515,30000.0
4240,M,93,04e5255c9e754c66b83c06ec70f62203,20170904,35000.0
4241,M,55,a1a85bdfc4644774aeaf1b75552e89ba,20180219,30000.0
4252,F,41,9c1c85ddf82448e58ef49e6dcd0e59a6,20151213,33000.0
4264,M,34,f28b37ab06934bd28169ef920ad5190c,20170930,37000.0
4267,M,85,729c1f00743e418891985f43cdfc8cf5,20171230,33000.0
4269,M,34,9a9a6f44405f49fdb0c3fa45109767d5,20141115,31000.0
4271,F,52,82a45f1e6e5a47a69378f42943ad3c12,20180323,34000.0
4281,M,34,5c6c1b8f33b5457893a00b94f5895afb,20180517,31000.0
4282,O,30,a349c2f0f90c430aae70eeed8937c2fa,20170401,31000.0
4286,M,24,b9ad4c8fa6df4f35b816fabbe623d2ae,20171213,35000.0
4291,M,26,baee2ca26186423196e80dffaa4e13f5,20140316,33000.0
4292,M,72,b1b28e36ca0d4c849f7a9204a9a78eff,20151017,34000.0
4298,M,25,54570dbe1e5a43ec8036fff68d1a1a10,20180602,39000.0
4312,M,28,d20b60b322fc464f8bf26593330880c5,20180511,37000.0
4330,F,56,195e944f93a345639e7ad4ffe9ad8a1c,20170920,38000.0
4350,M,64,fa68a4bae5c14ae7951a3a9d5b2f3e20,20171221,36000.0
4353,M,24,f293aff29389401ba92ea7fe2a62b0bc,20150921,39000.0
4362,M,25,bc0c2b81cb8d4d43bf07aaa7c0ffa915,20171008,34000.0
4365,M,58,fa08f4ff03be446b8102637d534a855e,20180620,39000.0
4368,F,25,68d2e48c14c948a3ad6f852d4459bcad,20171230,36000.0
4370,M,20,714074e087534d908f4ca450f4efa52a,20140729,37000.0
4375,F,39,acc542a6f04a4950a5aa9121063d5b1f,20171229,31000.0
4377,F,75,682e67b90c0d42a1bf05b01c9f676be4,20171111,34000.0
4385,M,24,dd2676580c2f4926bc566967dc02019b,20150220,32000.0
4388,M,52,b9c53d6ca63c4e638567827345f412c9,20171004,37000.0
4390,F,36,71d13b84b3994184a122978fc5857b08,20171115,31000.0
4412,M,76,d6892242c9ff49fa85d76532f04a84ab,20170730,36000.0
4422,F,84,b657f02caf074ff7a3b9b8b1e0f585be,20170918,38000.0
4429,F,30,2d681721c6b44e99b8f9b2bde904e1a5,20160903,34000.0
4446,F,38,2be23fa758d245089009b7b0b726a4eb,20170618,38000.0
4448,F,91,a24c2ccbffcb47d29491771856b1dcd3,20160904,31000.0
4459,M,48,38a9ec4b59a549b786ae49c5af104c7f,20160801,32000.0
4465,M,52,64c72566e51c4ccbb1847794e1c9765e,20170815,31000.0
4485,M,42,2c330787e6bc44d99d9c4465b070e246,20180413,38000.0
4488,M,60,10b65a9ff6c24c45b07de5d3bdcd8e33,20160210,34000.0
4543,M,43,0a03ef333feb47db93bf30d6ef41b239,20180412,37000.0
4546,F,30,4eb999a6a45a4f3896e250e531ae90fb,20160715,31000.0
4549,M,68,930305f046fa4f218d2539fb99baefb9,20131215,38000.0
4551,M,59,63ddf6b407714dc9bcaf6e386190d360,20160723,33000.0
4553,M,38,b390be062396490093121338df43f692,20170803,39000.0
4556,F,75,4c8c8baa36a04042b79fff64ef10f802,20151110,31000.0
4559,M,70,c36c95e9e3e64a48be96977a82f8a753,20170928,32000.0
4564,F,20,76244aaaebc54b67b4d0e236a58c6ff3,20170206,35000.0
4582,M,41,2172dc3aa5ca4e68819ed402a2f91a9e,20150226,30000.0
4585,M,70,5a16683f3bf14ea9aa0b79b0cf8cbf40,20130811,31000.0
4592,F,80,f56f4b62551b4ab982edb7c959255a82,20170702,35000.0
4610,M,58,475733bc4d89458691ca25a4348e6934,20160428,31000.0
4611,M,38,1e2259a131074464851efe535dd17634,20170913,32000.0
4621,M,53,1ac83a504e56462f9b574e9b845a32e0,20141003,39000.0
4628,M,49,7778fe787e7240cd8684ca67ca72eeba,20180711,31000.0
4642,M,61,ef8216e6e8c44ce08c75752c700b1da7,20131015,34000.0
4666,M,28,325401ecec2e4570833f25eafccf16da,20180313,31000.0
4667,M,77,ba837b8385e74413981dd817f6deba2c,20171229,32000.0
4668,M,24,51f5192107fd4fd6a5bf0aa434e659ce,20180612,38000.0
4704,F,53,9b6a4d4dc49643b4872c16def5649db7,20170311,34000.0
4726,F,34,486561a21b064e0ea7cfc4430297ca4c,20161012,33000.0
4731,M,51,1fa18ac894ce457686b3d3264eb192f5,20171220,36000.0
4742,M,52,6c8474da5eb440a6a782a3a9dc632dd4,20170728,31000.0
4752,M,67,bb9e58e712404f8caa0105bbae0c6edb,20160525,35000.0
4759,F,76,2db807a13372444b9eb716d66479433b,20160718,33000.0
4761,M,44,bca961093988487c98c58aa5b2600486,20180124,35000.0
4762,M,61,a6baa548ce4442acb92179fd080964d6,20180620,33000.0
4769,F,25,56e176508938490395aececa40d957ad,20180113,34000.0
4773,M,44,8353ac3c08714ad2912302ac5c7868e5,20170803,31000.0
4778,M,87,ff35495df493403388a7373862bcf2d5,20130830,38000.0
4782,F,28,f3845db4f3ba4afb8e82417d42199f24,20160605,34000.0
4812,F,43,31a99f67ed9f4b859c4279e55e11d3fb,20180126,39000.0
4849,F,42,ade281e47ea7413da6c43d28a74bd871,20170108,33000.0
4852,M,62,c5487320b716473ebf7134a10a3c1a71,20180305,31000.0
4853,M,70,52c3de46fb154851b6b4b47e5e519cc4,20180505,36000.0
4872,M,36,52a185bd92f640dd8ff7dc6ac792cb23,20180204,38000.0
4875,O,70,0a20aacc0b0040598997c1a6d829d8e0,20170919,34000.0
4878,F,21,18f9f62683bf41278dca98799df7e581,20180506,36000.0
4892,M,42,c6604288d28148fbae794d079e6d7623,20171106,32000.0
4905,M,41,fe245b31d1334751906c8ce0cd833a64,20150903,34000.0
4909,M,21,f83716ec38f44f03804f1263822faa62,20180502,35000.0
4912,M,60,6c1f1d11a0f344a58559c93bf519963f,20161030,33000.0
4933,F,38,60d0b2ba8ea3482f894c634b80801631,20151021,38000.0
4934,M,24,e2bf90d0b5ec4155a65ebbe0bf2dbe00,20170930,39000.0
4935,F,29,aac15edd62e6480c86fc4069ea5af646,20160619,33000.0
4974,M,73,3cc1e660bd3b48ad903ba2c6550c84ba,20180515,38000.0
4988,M,38,23a674ce0edb4458a1d8fdb1d8ed067c,20180312,35000.0
4991,F,22,2702f042f8f7405893d0c562e9813342,20180426,32000.0
4997,M,76,96a2c9f3b1ab4b2cb48d65f03f0a9ff4,20171118,34000.0
5008,M,49,ae042c0c47e142238b09f90e367d5c05,20140919,33000.0
5014,F,23,181a9ffd330e4f89a93a812ae2653880,20151122,31000.0
5019,M,50,0514e61ffb1c4b52b8f0bf5ed2a348c7,20180606,37000.0
5022,F,40,9831341c3d0840219ce2b4cd6ac0dd54,20140524,33000.0
5033,F,63,61dc3aeeb2264c6288b702608e50813f,20160213,34000.0
5037,M,25,6aebaf984fd845acaad2aa4de51c362e,20170423,32000.0
5050,F,21,570a49383dce4bd59f2c3212fff57036,20150123,36000.0
5053,M,67,43a1ff5a741c499b91b6c026d0d93f81,20180119,36000.0
5055,M,55,9ca7ccb9ef3e44b4af85e8cfe3c15694,20171116,31000.0
5065,M,32,c4875ed3bb9e4823bdd7ab5171326dbb,20170906,35000.0
5072,M,61,1a49aea4859d48feb21e10cf4ed241cd,20171018,37000.0
5092,M,42,dc71eebf1112489987b78e2d7a621745,20140902,32000.0
5097,F,33,89e71ea899a44ec39624a4b522b4fa9b,20161019,36000.0
5113,M,50,fad67e30e00241c9b28ac50d60a5130e,20140917,35000.0
5119,F,48,1661fd9fb3b64231953f181f582e6edb,20130906,35000.0
5128,M,59,7c0a8f9b191f40d3b5b478905495864a,20170204,34000.0
5130,F,33,3bee268f105f4c5397ff326fcee03f7f,20180628,35000.0
5143,F,36,37f7c5629f5e4908ac73b1c7e9aa4403,20171009,39000.0
5146,M,46,991e1092ad554373aed297ac057ed7dd,20160404,32000.0
5150,M,27,a778089b56034462b625fa458be8d3e4,20180313,31000.0
5167,M,68,1739cf3e7afb4300aa703b32261cd0bd,20140630,38000.0
5176,M,29,2423ad34c87244f9a6dba4f1d139531f,20170502,38000.0
5184,F,55,93ad37ec69c8432cb320146df7fe6c9f,20180102,33000.0
5195,M,47,8546396e46394221a3d889aba0593e5a,20171024,31000.0
5200,F,55,d24391f6da3040319f2bef0efba30dc3,20171202,39000.0
5201,F,23,df4fd1a7d2144ac4af6c83bbe62ddbe0,20160221,35000.0
5209,F,29,90f9062185ea4c3baf0f91790cd29ff2,20180218,38000.0
5210,M,20,48dbc372c7164fe99b9a90f0249b6024,20180210,31000.0
5223,F,70,264f876fe2ff4fbfb9e417dd7c140e96,20170119,36000.0
5239,F,32,02b7a80a321c4b078af92d494cc0f012,20171030,34000.0
5241,M,55,f3d42b8e20a94d4ea5f6d1efce18b2c2,20150323,34000.0
5245,M,23,b008527a63914a51bf97fc0b800e7fe1,20140221,32000.0
5246,F,45,ee8651d8fd7e459298b431b0481f877f,20180518,36000.0
5263,F,61,e1f1c53887394149977e49645b384a44,20170817,33000.0
5267,M,76,736b9b540036473985913edde51ed7b5,20170911,39000.0
5295,M,44,d88b4dbc2ff54dbcb9b99db4802657ac,20180504,38000.0
5296,M,37,8c03c9716ffa4825b57af6b5cfee0f82,20180501,39000.0
5315,M,63,e633a5cfcd1b4915954a1172a879f6f1,20180110,31000.0
5323,M,53,086f6cec7c6e4f5c9d401b015f39c764,20180301,32000.0
5347,M,71,3889324c08c44aaaa40cbd2fe19964db,20150520,38000.0
5355,M,72,13d3c1b4461a418ea65dd9ddc7ab77bf,20171005,36000.0
5362,F,74,7ffb919d222447e2af22712b28cf1a60,20170830,31000.0
5370,F,36,da37610be80246f69cb4792b7ca4ec25,20140404,31000.0
5375,M,45,3c2f772174ea4c4fa501a2275a614876,20170917,35000.0
5384,M,41,235b49cfcbff4da581d9ec3a70f39a1d,20170914,36000.0
5387,M,87,b66cb315b9944a749e25aee0d7dfe13c,20180128,33000.0
5388,F,35,1ce8e5faa25f4daabdf8c43c1168cb17,20170720,33000.0
5393,F,70,0345b2da6507473ca4400ed84dc6725a,20140130,31000.0
5396,M,41,b36bf3f9b2534cdab28a1d6e2588e939,20170906,35000.0
5399,F,74,29033cded35c48d99cf6ef99f91fad66,20160103,39000.0
5401,F,80,400b0b26df05490381f988a896541cf6,20150823,38000.0
5409,M,39,d537607dde6343a8811c7579e1547361,20171018,39000.0
5410,F,27,a2b6a87946dd43bfa72d5617f87ece3f,20171205,33000.0
5431,M,65,47b014746315472f8127c2031441506e,20171021,36000.0
5436,M,36,dbf3c96bcbc44cca9839344b4adcaddf,20160424,30000.0
5437,O,26,13aadd16d0e64941aeb4d24d2037fcef,20180117,36000.0
5444,M,20,10a5da9c4e80439286db884a52de6618,20180311,33000.0
5449,M,46,03c0b69b3db24c70bba1622bc8dd8459,20160409,31000.0
5466,M,58,f140769bf21e43f08ad81e9a482c0a11,20170528,38000.0
5481,M,63,0854b236fc3b422d88cee4cb6d44ce0c,20180120,33000.0
5492,F,64,232aded1c7bc40f8baf89f8ea81706a4,20170126,36000.0
5496,F,36,1410e1ea947d4ee2853edbdc9ba89f08,20180424,35000.0
5522,M,34,140d73b7ee7d4d75aefe61b2d823d19e,20180520,32000.0
5528,M,23,9b1f748c79ae43bc93c10499159341f8,20180628,38000.0
5543,M,68,92eaea9385cb46af8ca6fe47adb7e279,20170401,33000.0
5553,F,22,5875bed7d3644a4db418a92e65dfc070,20151007,37000.0
5571,O,32,bd925120547040cb9bb7d2a737d01c14,20171019,37000.0
5575,M,43,8c0641caa08e4a38b8a58c7643f3698e,20160903,38000.0
5585,F,20,8d50d555f002482bacd7d80c68ae452c,20170804,35000.0
5588,M,33,f49e624a9f79456ab29e3c19f4b8e8cf,20141012,32000.0
5597,F,29,763fa29914a941f98d8b84b539b9afef,20160212,33000.0
5612,M,20,b7e641061b4345f1adfffffad7e7afdd,20160303,31000.0
5618,F,32,9468b65cdffb44f88b038f53de5595ce,20180306,37000.0
5619,F,58,073ff5dc4bee4e8c97ab421c19e50549,20171225,30000.0
5633,M,21,18d309bd61ca40b8b5885c8d3d11e83a,20180225,34000.0
5639,F,66,eb540099db834cf59001f83a4561aef3,20170929,34000.0
5644,F,44,49295418cdfb40aba2dba760b44a0a08,20170310,34000.0
5655,M,37,7b566bc827bf4cc8bf4ceccee470731d,20180516,32000.0
5656,F,60,5c59075ce60b48029123d6a466604e44,20170830,37000.0
5662,M,37,5aff1ed327694a849b9b51e8125e2be9,20171019,34000.0
5675,M,50,48a31c17273d476c87571c44ddf3e667,20180301,37000.0
5676,F,59,70e5c106ec084acabc0644f12ced1069,20150910,35000.0
5679,M,50,71b61cc2a3004060b66070ff75168a17,20160921,31000.0
5686,M,64,bd70a3196c6c46ffa4738581c64e29d5,20160916,34000.0
5694,M,25,53037c5ec1e5495d87242be14ed88ca3,20180220,30000.0
5701,M,43,a3cbf6d9d9f541b6b3c1e318ba227b87,20160630,39000.0
5706,F,46,92fbbcb6323f43b087bb5e9ae6ee1eca,20170923,33000.0
5707,F,74,da9e3b4b8c8a42a290186283a02b950d,20180523,35000.0
5711,M,19,48e4a6aa9b3246f0b59d9ae7bc91c707,20180101,37000.0
5715,M,40,93a7bc82e2714a83b8290b4051195cfc,20180104,35000.0
5727,F,47,8a5a1b0ec1114a56be3551e5783130ea,20180321,34000.0
5744,M,29,157034648e3b422f8f7af11778bacb69,20170920,38000.0
5745,M,42,7db3bb908e13482498a69df15cf012b5,20171214,36000.0
5747,M,51,0e1c6bc99dc34d8d82d7a0048de8501e,20180606,38000.0
5748,M,32,45411f95eb0c44a7813d1533a2ed5722,20180520,34000.0
5767,M,66,444de670c39b46c0a0a878d4788d499d,20171003,38000.0
5774,M,55,9358591b77e3479db0d13a9966919ded,20170630,39000.0
5777,M,23,a206d7f1c7124bd0b16dd13e7932592e,20151004,32000.0
5791,M,67,c738ad104ecb455bb035e4ae9ecfd8f4,20180113,39000.0
5793,M,22,fcd42da6a4864c8e90455aff1f6c2f87,20180421,33000.0
5798,O,31,4177c85d48f047e29db682c8f87aaac8,20180410,37000.0
5801,M,55,fb8ae29d5f8a46b081792000b3c833de,20140923,36000.0
5824,M,56,970841fd5c234c6c84a2d7126edc1dfb,20170904,38000.0
5826,M,22,a241dbaddac140bda63db7ee23e2b042,20180205,30000.0
5844,F,49,a25f404d0497412cb77069146257ed32,20170326,36000.0
5859,M,30,17fc3f18cb5e4b1cbebe921a69c95c05,20171015,31000.0
5864,M,23,540c7c9167ee422d9c9e8291dc62bd37,20170529,37000.0
5867,M,23,da5b9a0ab0424d51a502f9423dc75c81,20180722,32000.0
5869,M,46,ec224f52c0424af4853e1e62f6fa1e4a,20180709,33000.0
5879,M,61,018a49ffb8cf4812903e7c1f56fbb0b0,20161202,34000.0
5883,M,23,fe0b0b1b7fd34f84a17d1352f19a57f5,20180611,35000.0
5900,M,56,75228097dd5247c29170d85b78201346,20140704,37000.0
5906,M,18,2ba1d65405594702af723081531011ef,20150930,38000.0
5923,F,36,60a1a053d1534f59b354bd6e52e1a755,20170731,36000.0
5942,M,21,13d551f1c2084eb584d6f5cad4c1348f,20170812,34000.0
5953,O,38,baa224e7738d490abb3e523842a95e14,20180318,37000.0
5969,M,39,a425b937d8f245048313d81bee4e1745,20180323,31000.0
5970,F,50,c658ac6c1b2142c4b2ad19cd26fdd354,20170821,34000.0
5975,M,25,6cfbefc2990e424ab2f23ed967d5f4c0,20180509,31000.0
5978,M,53,d0a80415b84c4df4908b8403b19765e3,20160218,37000.0
5983,M,29,c65f7b5cfa674dee9a2af2618d8674e9,20180323,31000.0
5985,M,29,a1c793fdc13b4cf1a69149b2d473be5a,20160117,31000.0
5994,M,27,ef19f741b64545cd9bcfa2d537a7b968,20171119,34000.0
6007,F,29,b144cbb863a7459e9ac7cd15d9ea058a,20151029,37000.0
6012,M,79,2c810363d6e2458f82bf4c9030661aa6,20180316,32000.0
6023,M,61,84b74412fc934aed89b6904fcc4f9c3c,20180430,32000.0
6034,F,61,b8e5c831475c42158d68dda130ea93c7,20171230,36000.0
6041,M,42,25ea68fd0d5541c4a4b24b16d02e88df,20180423,34000.0
6051,F,52,9f24629e9e0e409a95c9b025fb3be69a,20160731,32000.0
6056,F,65,9600291cca4849e3a80eff7d6ce276ba,20180408,39000.0
6059,F,48,efbc09e54d6a4acfb0a624e722937738,20180312,33000.0
6062,M,25,993235c327bd4f268b71cc1dcd90cb4a,20171119,31000.0
6064,M,41,433a0d9532eb4aa39e91a12f12bb1d99,20170903,31000.0
6071,F,40,b834c0ff6f2f4a08a39b2122a6a45f7e,20180124,31000.0
6090,M,19,89cb4f28d063441ea3ae870e6b4f45a5,20170905,34000.0
6119,M,59,86c8ba18ecd94da382a23716c33b0bf8,20171107,38000.0
6125,F,65,d8a36c06ea954489a55e17a194bb1735,20160421,35000.0
6126,F,23,e19dbea1ad994f46827cde9f20ee9042,20171029,35000.0
6134,F,94,1f03595b20254b86b7d11344ad8493c9,20170806,39000.0
6154,M,71,9b57b7bc4ea24fc1a3d2f4760a141941,20160627,30000.0
6166,M,32,2a048f2c29474efcaf0f59ce9c4fc169,20180127,37000.0
6168,F,58,808d7d2d38784160aca7a43b7d04eb6f,20171028,37000.0
6181,M,21,85a4b98da3254e0986fc5a1ee9d5c1cc,20170303,32000.0
6183,M,50,402643d64e3941c6acd9b00798a8c07d,20160327,37000.0
6192,M,81,46ce64b2811143158f593051795485ec,20150622,37000.0
6194,M,35,445142fe73dc423a8f165765d831debb,20161117,37000.0
6198,F,27,2d2a9b0c54b04b2bb545a0158de57896,20160215,35000.0
6199,M,40,a4f3350b08934d41a80e526317842b40,20141201,31000.0
6201,M,35,c8c5b06729f04e4f81759c605d839658,20170908,39000.0
6206,M,34,30466298a6d64c24ac6d5a54185013b7,20170611,38000.0
6209,M,70,5c779552566740b7a0a6c79225964cb4,20171209,30000.0
6213,M,82,d11c5393ef3642b1b7a458ac7dc14aa8,20180516,34000.0
6222,M,24,184543d59b834277b5e95d1b912ffab7,20170102,37000.0
6238,F,80,503caff4d83a40309d1a7877e4a8dda6,20170223,37000.0
6241,M,52,090025d59b7d41b590b246ae806a19a9,20171007,37000.0
6257,M,23,8b84feacae464c8c9fff28100ad134a4,20170907,30000.0
6260,M,72,e7e88108a354461b9ac3ca0246888824,20161211,32000.0
6267,M,87,e31ba2c5c35e4598889fd816c811f326,20180714,34000.0
6268,M,49,f9b172b45ea2495ba31fee39ca23e9b5,20170824,36000.0
6280,M,63,a8a2e7366a8444b6968fb2ebe27c68b6,20171114,39000.0
6283,F,47,6671bb69613249e595e42e0594444789,20170928,39000.0
6284,M,74,b50987e063ec45fca2b6343837d6a139,20170817,33000.0
6286,M,19,b1552ad9c27d49d49e8a30eaf6cb79b0,20151129,33000.0
6289,F,71,99991bf10a0f4523b5facba836769ae9,20161111,37000.0
6306,F,63,e3504fe85a1e4344be0987966279edfb,20170321,36000.0
6313,M,19,35e371655ddb472ea707489a4d92f183,20171007,32000.0
6319,M,33,f576cc0ee40c4cb2b0f358afe5ecdcf8,20180113,39000.0
6328,F,31,d9bd65bf66f74cd0b9a8f626ed14f7d8,20170917,34000.0
6355,O,45,67150b0ac62b4762b327de7242ede92e,20170101,37000.0
6358,M,23,0ba55f2ffeef4c70b34e1838ee36f920,20180117,31000.0
6365,F,61,888c4bee1cb5473a975e73150c6b40e1,20180320,37000.0
6369,F,43,5c28ba3c71c840bb82962961c2564499,20180626,37000.0
6374,M,44,2de68905470540e6a991f0763654d3c4,20170929,37000.0
6382,M,92,735283da85944373871631c53835558a,20161226,30000.0
6383,M,64,ea6a1589b9d545109077c1481b917599,20170814,39000.0
6385,F,75,66e5459d394e418f94411e88ff43f8da,20151225,36000.0
6389,M,20,24e97f8491804e43ac0865ae93b54ca9,20180719,39000.0
6406,M,69,7c03888c7d2442c3bf00bdc22716e534,20160322,32000.0
6407,M,30,0ef5270c4e634eccbfcf23a172921a8d,20161119,31000.0
6448,F,27,7e3009f88c254c89af4f99e5068f9e26,20180705,38000.0
6451,F,81,fc4be034b72a42e999e54c40cdb80dc5,20160824,37000.0
6475,F,30,5f6d23897c9e4efc8f7ba028238edefa,20150911,37000.0
6481,M,61,5519acfc31b94c0e84f78c71bd993b77,20180125,39000.0
6491,F,26,1360c2518d56433ea2edd28c0cf9261b,20171228,32000.0
6509,M,45,5edbee2c32e64698a6d6d4ba9012b829,20180425,30000.0
6511,M,25,b51d59ccd5d64f9580e9d49925231cff,20180216,39000.0
6522,M,54,f0986f270b1f4112bc3254366325f819,20160112,32000.0
6524,M,36,c3ea4f8ef00d4ec99de9df2de9b4e794,20180726,33000.0
6525,F,27,a14c2517450542f4b55c2c13901e21ca,20170228,34000.0
6529,M,36,600110e8ae6643c693aa32401008422f,20161119,38000.0
6530,M,57,dfdbc40643404a1a8989b60e71a0d5e6,20171107,34000.0
6564,M,34,18e563ab170d4e6f9f8548ee5488b4c9,20180412,37000.0
6571,M,58,960d6648706f4b3094de92779c8ff802,20180225,34000.0
6578,M,60,af69a507aefd4ecdbc4c33b0ec4dfe61,20160611,30000.0
6582,M,25,5e99701702ba4902bd8e8a6f2976cae0,20180421,34000.0
6583,M,31,394959bac98241098e68e063d28687e0,20180618,35000.0
6596,M,65,8fda24811f1f4867afa33c7a3a8c347b,20151029,38000.0
6613,M,59,6966b1d94b8a48f3b0fbfd14dda579ac,20171026,35000.0
