,storeNumber,countryCode,opening_times,closing_times,duration
5898,61831-295444,US,06:00:00,19:00:00,13:00:00
5899,48628-263366,US,04:30:00,16:30:00,12:00:00
5900,48506-263365,US,05:30:00,11:30:00,06:00:00
5901,29074-251947,US,06:00:00,19:00:00,13:00:00
5902,14437-119070,US,05:30:00,21:00:00,15:30:00
5903,75413-102926,US,07:00:00,21:00:00,14:00:00
5904,25847-236825,US,07:00:00,22:00:00,15:00:00
5905,50475-274864,US,08:00:00,21:00:00,13:00:00
5906,79361-101270,US,07:00:00,20:00:00,13:00:00
5907,8961-286512,US,05:30:00,22:00:00,16:30:00
5908,76466-96570,US,08:00:00,20:00:00,12:00:00
5909,9839-98359,US,05:30:00,22:00:00,16:30:00
5910,9763-98360,US,05:30:00,22:00:00,16:30:00
5911,79343-103391,US,07:00:00,20:00:00,13:00:00
5912,70320-99584,US,07:00:00,20:00:00,13:00:00
5913,11058-243148,US,05:00:00,22:00:00,17:00:00
5914,76588-101401,US,08:00:00,21:00:00,13:00:00
5915,27558-246784,US,06:00:00,20:00:00,14:00:00
5916,29069-251948,US,06:00:00,20:00:00,14:00:00
5917,8517-286640,US,05:00:00,21:30:00,16:30:00
5918,49408-266019,US,07:00:00,19:00:00,12:00:00
5919,25248-239811,US,05:30:00,21:00:00,15:30:00
5920,21131-180245,US,07:00:00,20:00:00,13:00:00
5921,8540-63340,US,05:30:00,21:30:00,16:00:00
5922,16923-166304,US,08:00:00,21:00:00,13:00:00
5923,25954-242179,US,05:00:00,22:00:00,17:00:00
5924,54668-282673,US,08:00:00,21:00:00,13:00:00
5925,11640-100682,US,05:00:00,21:00:00,16:00:00
5926,26169-237578,US,06:00:00,20:00:00,14:00:00
5927,11926-105253,US,05:30:00,21:00:00,15:30:00
5928,59762-292407,US,05:30:00,21:30:00,16:00:00
5929,8448-35099,US,05:30:00,21:00:00,15:30:00
5930,11269-103675,US,05:30:00,21:00:00,15:30:00
5931,10522-100784,US,06:00:00,13:00:00,07:00:00
5933,17193-176966,US,07:00:00,19:00:00,12:00:00
5934,10404-100419,US,05:00:00,21:30:00,16:30:00
5935,27480-247810,US,06:00:00,21:00:00,15:00:00
5936,22598-220704,US,05:30:00,20:00:00,14:30:00
5937,75857-101421,US,07:00:00,19:00:00,12:00:00
5938,72418-3868,US,07:00:00,20:00:00,13:00:00
5939,10293-99852,US,05:00:00,22:00:00,17:00:00
5940,55851-286497,US,08:00:00,21:00:00,13:00:00
5941,52016-280491,US,05:30:00,21:00:00,15:30:00
5942,58885-291545,US,05:30:00,19:00:00,13:30:00
5943,76598-101767,US,08:00:00,21:00:00,13:00:00
5944,17750-179384,US,05:00:00,21:30:00,16:30:00
5945,76545-100669,US,08:00:00,21:00:00,13:00:00
5946,10873-100657,US,06:00:00,21:00:00,15:00:00
5947,10403-99854,US,05:30:00,17:30:00,12:00:00
5948,23906-204845,US,07:00:00,22:00:00,15:00:00
5949,19193-181664,US,05:00:00,20:00:00,15:00:00
5950,795-254729,US,05:30:00,15:00:00,09:30:00
5951,72781-74404,US,07:00:00,19:00:00,12:00:00
5952,49719-268944,US,08:00:00,21:00:00,13:00:00
5953,56059-289070,US,05:30:00,21:00:00,15:30:00
5954,53963-282889,US,06:00:00,19:00:00,13:00:00
5955,7284-275490,US,06:00:00,20:00:00,14:00:00
5956,2912-91465,US,05:00:00,22:00:00,17:00:00
5957,76791-106134,US,08:00:00,21:00:00,13:00:00
5958,47580-256444,US,05:00:00,21:30:00,16:30:00
5959,49794-262968,US,05:00:00,21:30:00,16:30:00
5960,63419-295871,US,05:00:00,21:30:00,16:30:00
5961,22185-212165,US,11:00:00,20:00:00,09:00:00
5962,8864-93473,US,05:00:00,21:30:00,16:30:00
5963,76770-108133,US,08:00:00,21:00:00,13:00:00
5964,24719-215365,US,05:00:00,20:00:00,15:00:00
5965,8867-93595,US,05:00:00,21:30:00,16:30:00
5966,13610-105966,US,05:00:00,20:00:00,15:00:00
5967,76666-97597,US,07:00:00,21:00:00,14:00:00
5968,24359-235925,US,07:00:00,20:00:00,13:00:00
5969,10063-99659,US,05:00:00,20:00:00,15:00:00
5970,76436-96594,US,08:00:00,20:00:00,12:00:00
5971,8949-94106,US,05:00:00,21:00:00,16:00:00
5972,58136-290722,US,05:00:00,21:00:00,16:00:00
5973,65318-297706,US,05:00:00,21:00:00,16:00:00
5974,56720-289936,US,05:30:00,21:00:00,15:30:00
5975,29899-254776,US,05:00:00,21:00:00,16:00:00
5976,62879-295006,US,05:00:00,21:00:00,16:00:00
5977,76488-97105,US,08:00:00,21:00:00,13:00:00
5978,20007-192495,US,05:00:00,21:00:00,16:00:00
5979,13516-104847,US,05:00:00,20:30:00,15:30:00
5980,22186-212166,US,10:00:00,19:00:00,09:00:00
5981,8564-286476,US,05:30:00,20:00:00,14:30:00
5982,76513-89103,US,08:00:00,20:00:00,12:00:00
5983,11997-254245,US,05:00:00,21:00:00,16:00:00
5984,58902-292643,US,05:30:00,20:00:00,14:30:00
5985,11249-103362,US,05:00:00,21:00:00,16:00:00
5986,76103-78187,US,08:00:00,20:00:00,12:00:00
5987,60162-293402,US,05:00:00,21:00:00,16:00:00
5988,54434-285773,US,05:00:00,21:00:00,16:00:00
5989,9907-98589,US,05:30:00,21:00:00,15:30:00
5990,11956-98744,US,05:30:00,21:30:00,16:00:00
5991,13877-105103,US,05:00:00,21:00:00,16:00:00
5992,76819-111304,US,08:00:00,21:00:00,13:00:00
5993,8597-271526,US,05:00:00,21:00:00,16:00:00
5994,24857-232566,US,08:00:00,21:00:00,13:00:00
5995,51876-279251,US,07:00:00,19:00:00,12:00:00
5996,26675-244912,US,05:00:00,22:00:00,17:00:00
5997,56763-289522,US,05:00:00,21:00:00,16:00:00
5998,11037-97631,US,04:30:00,23:00:00,18:30:00
5999,53563-282124,US,05:00:00,22:00:00,17:00:00
6000,52341-279324,US,05:00:00,21:30:00,16:30:00
6001,8269-240786,US,05:00:00,22:00:00,17:00:00
6002,76308-96580,US,08:00:00,21:00:00,13:00:00
6003,61456-295085,US,07:00:00,21:00:00,14:00:00
6004,11387-105395,US,05:00:00,21:00:00,16:00:00
6005,27185-241709,US,05:00:00,18:00:00,13:00:00
6006,76218-89124,US,08:00:00,21:00:00,13:00:00
6007,25467-239191,US,05:30:00,21:00:00,15:30:00
6008,51439-264804,US,05:00:00,21:00:00,16:00:00
6009,57625-290855,US,05:00:00,21:00:00,16:00:00
6010,76464-97608,US,08:00:00,20:00:00,12:00:00
6011,63983-295004,US,05:00:00,21:00:00,16:00:00
6012,2754-256824,US,05:00:00,21:00:00,16:00:00
6013,53562-277033,US,05:00:00,21:00:00,16:00:00
6014,9516-95434,US,05:00:00,20:00:00,15:00:00
6015,8337-13261,US,05:30:00,21:00:00,15:30:00
6016,8284-185364,US,05:00:00,23:00:00,18:00:00
6017,8401-25227,US,05:00:00,20:30:00,15:30:00
6018,49413-266013,US,07:00:00,19:00:00,12:00:00
6019,79515-96792,US,06:00:00,20:00:00,14:00:00
6020,76262-90568,US,08:00:00,21:00:00,13:00:00
6021,9414-95702,US,04:30:00,22:00:00,17:30:00
6022,14593-112345,US,04:30:00,22:00:00,17:30:00
6023,60590-294488,US,04:30:00,21:00:00,16:30:00
6024,74722-65080,US,06:00:00,20:00:00,14:00:00
6025,60976-295275,US,04:30:00,21:30:00,17:00:00
6026,5468-1417,US,09:00:00,21:00:00,12:00:00
6027,23634-228544,US,03:30:00,21:00:00,17:30:00
6028,8103-95836,US,05:00:00,17:30:00,12:30:00
6029,70315-140365,US,06:00:00,19:00:00,13:00:00
6030,50794-276117,US,04:30:00,20:00:00,15:30:00
6031,74940-101009,US,06:00:00,20:00:00,14:00:00
6032,48028-256724,US,06:00:00,20:00:00,14:00:00
6033,5560-290567,US,04:30:00,21:00:00,16:30:00
6034,2837-90926,US,04:00:00,21:00:00,17:00:00
6035,53805-284824,US,04:00:00,22:00:00,18:00:00
6036,54317-281769,US,08:00:00,21:00:00,13:00:00
6037,7970-95703,US,04:00:00,19:30:00,15:30:00
6038,48697-255545,US,06:00:00,16:00:00,10:00:00
6039,21438-97176,US,06:00:00,19:00:00,13:00:00
6040,5340-1014,US,06:00:00,20:00:00,14:00:00
6041,74101-22842,US,05:00:00,20:00:00,15:00:00
6042,79775-110404,US,06:00:00,20:00:00,14:00:00
6043,29866-255358,US,05:30:00,16:00:00,10:30:00
6044,75178-78040,US,06:30:00,20:00:00,13:30:00
6045,75197-78022,US,06:30:00,22:00:00,15:30:00
6046,5898-35199,US,04:30:00,19:00:00,14:30:00
6047,75278-78041,US,07:30:00,16:00:00,08:30:00
6048,17800-181285,US,06:00:00,19:00:00,13:00:00
6049,6966-85340,US,04:30:00,20:30:00,16:00:00
6050,6874-85694,US,05:00:00,20:00:00,15:00:00
6051,60026-294114,US,04:30:00,22:30:00,18:00:00
6052,10259-99925,US,04:00:00,21:00:00,17:00:00
6053,5465-1129,US,04:30:00,19:30:00,15:00:00
6054,72593-102521,US,06:00:00,19:00:00,13:00:00
6055,11892-105919,US,05:00:00,20:00:00,15:00:00
6056,9450-95709,US,04:30:00,21:00:00,16:30:00
6057,58300-291864,US,00:00:00,00:00:00,00:00:00
6058,73348-24048,US,06:00:00,20:00:00,14:00:00
6059,75378-103975,US,07:30:00,20:00:00,12:30:00
6060,6690-75361,US,05:00:00,21:00:00,16:00:00
6061,79430-101771,US,06:00:00,20:00:00,14:00:00
6062,48883-262390,US,06:00:00,20:00:00,14:00:00
6063,47963-255225,US,06:00:00,20:00:00,14:00:00
6064,60632-292054,US,05:00:00,21:00:00,16:00:00
6065,56184-289222,US,06:00:00,20:00:00,14:00:00
6066,48910-258284,US,06:00:00,20:00:00,14:00:00
6067,57363-286616,US,06:00:00,20:00:00,14:00:00
6068,55800-102482,US,08:00:00,21:00:00,13:00:00
6069,54202-281838,US,06:00:00,20:00:00,14:00:00
6070,13457-106689,US,04:30:00,16:00:00,11:30:00
6071,79210-93002,US,06:00:00,20:00:00,14:00:00
6072,73913-87640,US,06:00:00,20:00:00,14:00:00
6073,49558-269884,US,05:00:00,20:00:00,15:00:00
6074,51401-130446,US,06:00:00,20:00:00,14:00:00
6075,10842-102811,US,05:00:00,21:00:00,16:00:00
6076,76857-113949,US,08:00:00,21:00:00,13:00:00
6077,10288-99990,US,05:00:00,16:00:00,11:00:00
6078,2453-19280,US,07:00:00,14:00:00,07:00:00
6079,73764-108106,US,06:00:00,20:00:00,14:00:00
6080,61849-294979,US,05:00:00,17:00:00,12:00:00
6081,29458-253945,US,06:00:00,21:00:00,15:00:00
6082,72806-87642,US,06:00:00,20:00:00,14:00:00
6083,51713-272184,US,06:00:00,20:00:00,14:00:00
6084,25982-242148,US,06:00:00,20:00:00,14:00:00
6085,11371-104648,US,05:00:00,21:00:00,16:00:00
6086,8880-95180,US,05:00:00,21:00:00,16:00:00
6087,61509-294633,US,05:30:00,18:00:00,12:30:00
6088,20129-174985,US,05:00:00,16:00:00,11:00:00
6089,79318-97128,US,06:00:00,20:00:00,14:00:00
6090,54604-286581,US,05:00:00,20:00:00,15:00:00
6091,70351-141552,US,08:00:00,21:00:00,13:00:00
6092,56784-289658,US,06:00:00,15:00:00,09:00:00
6093,48193-242244,US,06:00:00,20:00:00,14:00:00
6094,2346-4433,US,05:30:00,20:00:00,14:30:00
6095,17528-174584,US,07:00:00,14:00:00,07:00:00
6096,48786-245624,US,07:00:00,14:00:00,07:00:00
6097,2367-5966,US,06:00:00,17:00:00,11:00:00
6098,76841-111529,US,08:00:00,21:00:00,13:00:00
6099,60955-293422,US,06:00:00,20:00:00,14:00:00
6100,79365-101769,US,06:00:00,20:00:00,14:00:00
6101,2540-32919,US,06:00:00,16:30:00,10:30:00
6102,28128-249189,US,07:00:00,16:00:00,09:00:00
6103,59134-97129,US,06:00:00,20:00:00,14:00:00
6104,79500-101770,US,06:00:00,20:00:00,14:00:00
6105,76319-95711,US,08:00:00,21:00:00,13:00:00
6106,29599-254344,US,05:00:00,21:00:00,16:00:00
6107,61353-295750,US,05:00:00,21:00:00,16:00:00
6108,23113-222126,US,06:00:00,20:00:00,14:00:00
6109,2455-19279,US,05:30:00,21:00:00,15:30:00
6110,58966-273273,US,06:00:00,20:00:00,14:00:00
6111,10613-100384,US,05:30:00,19:00:00,13:30:00
6112,10914-103149,US,05:30:00,19:00:00,13:30:00
6113,766-608,US,06:00:00,18:00:00,12:00:00
6114,9776-244447,US,05:30:00,18:00:00,12:30:00
6115,7837-283878,US,05:30:00,20:00:00,14:30:00
6116,74827-98573,US,06:00:00,18:00:00,12:00:00
6117,14457-166584,US,05:00:00,21:00:00,16:00:00
6118,5091-144484,US,08:00:00,21:00:00,13:00:00
6119,792-14033,US,05:00:00,21:00:00,16:00:00
6120,7839-81090,US,05:30:00,18:00:00,12:30:00
6121,3974-147285,US,08:00:00,21:00:00,13:00:00
6122,7997-95333,US,05:00:00,21:00:00,16:00:00
6123,22303-219806,US,05:30:00,17:00:00,11:30:00
6124,781-1765,US,05:00:00,19:00:00,14:00:00
6125,20282-197244,US,06:00:00,19:00:00,13:00:00
6126,76830-98021,US,08:00:00,20:00:00,12:00:00
6127,7833-271950,US,05:30:00,20:00:00,14:30:00
6128,14764-130044,US,05:00:00,20:00:00,15:00:00
6129,54242-237226,US,06:00:00,19:00:00,13:00:00
6130,75448-79706,US,08:00:00,17:00:00,09:00:00
6131,27778-248690,US,05:30:00,20:00:00,14:30:00
6132,63311-79707,US,07:30:00,16:00:00,08:30:00
6133,76335-95673,US,08:00:00,20:00:00,12:00:00
6134,76805-96781,US,08:00:00,21:00:00,13:00:00
6135,13214-103798,US,04:30:00,21:00:00,16:30:00
6136,63309-296918,US,07:00:00,22:00:00,15:00:00
6137,29557-251387,US,06:00:00,13:00:00,07:00:00
6138,19127-187664,US,05:00:00,23:00:00,18:00:00
6139,74293-74772,US,05:00:00,20:00:00,15:00:00
6140,9623-97419,US,05:00:00,20:00:00,15:00:00
6141,79763-113970,US,06:00:00,19:00:00,13:00:00
6142,28769-250264,US,04:00:00,22:00:00,18:00:00
6143,9996-96407,US,05:00:00,20:00:00,15:00:00
6144,18692-182765,US,06:00:00,15:00:00,09:00:00
6145,23522-230687,US,06:00:00,19:00:00,13:00:00
6146,6955-263144,US,04:30:00,20:00:00,15:30:00
6147,18890-177524,US,04:00:00,20:30:00,16:30:00
6148,60670-291833,US,08:00:00,21:00:00,13:00:00
6149,23521-230692,US,06:00:00,19:00:00,13:00:00
6150,76226-92082,US,08:00:00,20:00:00,12:00:00
6151,6967-89362,US,04:30:00,20:30:00,16:00:00
6152,23311-221604,US,04:30:00,20:30:00,16:00:00
6153,25946-243084,US,04:30:00,20:00:00,15:30:00
6154,72560-102065,US,06:00:00,19:00:00,13:00:00
6155,56887-290378,US,04:30:00,20:00:00,15:30:00
6156,5378-1012,US,05:00:00,21:00:00,16:00:00
6157,21988-215864,US,06:00:00,17:00:00,11:00:00
6158,16341-160305,US,04:00:00,20:00:00,16:00:00
6159,61419-295828,US,04:30:00,21:30:00,17:00:00
6160,23472-228104,US,04:30:00,20:00:00,15:30:00
6161,79701-101004,US,05:00:00,20:00:00,15:00:00
6162,74486-96937,US,05:00:00,20:00:00,15:00:00
6163,79409-97458,US,06:00:00,20:00:00,14:00:00
6164,18656-96170,US,04:30:00,21:00:00,16:30:00
6165,26804-237492,US,06:00:00,19:00:00,13:00:00
6166,2980-70601,US,04:30:00,20:30:00,16:00:00
6167,76205-92542,US,08:00:00,21:00:00,13:00:00
6168,74438-93031,US,05:00:00,21:00:00,16:00:00
6169,13595-108392,US,00:00:00,00:00:00,00:00:00
6170,79247-97620,US,06:00:00,20:00:00,14:00:00
6171,7693-36840,US,05:00:00,20:00:00,15:00:00
6172,73772-103379,US,06:00:00,19:00:00,13:00:00
6173,76871-121148,US,08:00:00,21:00:00,13:00:00
6174,5193-148205,US,06:00:00,18:00:00,12:00:00
6175,19774-178504,US,04:30:00,20:30:00,16:00:00
6176,61781-295658,US,04:30:00,21:30:00,17:00:00
6177,8635-77641,US,04:30:00,20:30:00,16:00:00
6178,7476-7508,US,05:00:00,20:00:00,15:00:00
6179,7734-46320,US,05:30:00,19:00:00,13:30:00
6180,52520-282344,US,05:00:00,21:00:00,16:00:00
6181,3988-146345,US,08:00:00,20:00:00,12:00:00
6182,74319-81380,US,06:00:00,19:00:00,13:00:00
6183,10622-98993,US,05:00:00,20:30:00,15:30:00
6184,7809-70620,US,05:00:00,20:30:00,15:30:00
6185,3764-116690,US,06:00:00,19:00:00,13:00:00
6186,13334-97629,US,04:30:00,21:30:00,17:00:00
6187,707-1110,US,05:00:00,21:00:00,16:00:00
6188,49112-266684,US,06:00:00,19:00:00,13:00:00
6189,72465-16195,US,04:45:00,12:45:00,08:00:00
6190,75833-99832,US,05:00:00,18:30:00,13:30:00
6191,75832-99834,US,05:00:00,18:00:00,13:00:00
6192,72311-6288,US,04:45:00,12:45:00,08:00:00
6193,22522-220888,US,06:00:00,18:00:00,12:00:00
6194,7606-290017,US,04:30:00,20:00:00,15:30:00
6195,62200-291995,US,08:00:00,21:00:00,13:00:00
6196,739-971,US,05:30:00,20:00:00,14:30:00
6197,50368-273784,US,06:00:00,19:00:00,13:00:00
6198,7731-46460,US,06:00:00,17:00:00,11:00:00
6199,11825-104822,US,05:30:00,19:30:00,14:00:00
6200,7631-12459,US,05:00:00,16:00:00,11:00:00
6201,48909-265224,US,06:00:00,19:00:00,13:00:00
6202,74142-18059,US,06:00:00,20:00:00,14:00:00
6203,22660-215544,US,06:00:00,19:30:00,13:30:00
6204,7526-12397,US,06:00:00,18:30:00,12:30:00
6205,7323-272824,US,05:00:00,16:00:00,11:00:00
6206,2805-89441,US,05:30:00,18:00:00,12:30:00
6207,76792-108282,US,08:00:00,20:00:00,12:00:00
6208,11210-94781,US,05:30:00,20:00:00,14:30:00
6209,22874-97721,US,07:00:00,20:00:00,13:00:00
6210,8888-94673,US,05:00:00,20:00:00,15:00:00
6211,62735-296255,US,04:30:00,21:00:00,16:30:00
6212,7756-57899,US,05:00:00,20:00:00,15:00:00
6213,76892-128690,US,08:00:00,21:00:00,13:00:00
6214,25701-237475,US,07:00:00,20:00:00,13:00:00
6215,79268-97720,US,07:00:00,20:00:00,13:00:00
6216,79534-103065,US,05:30:00,19:00:00,13:30:00
6217,311-191564,US,05:00:00,18:00:00,13:00:00
6218,356-95,US,05:00:00,18:30:00,13:30:00
6219,51177-277266,US,04:30:00,18:00:00,13:30:00
6220,79793-101466,US,06:00:00,19:00:00,13:00:00
6221,79408-96226,US,06:00:00,19:00:00,13:00:00
6222,8703-94187,US,04:30:00,19:30:00,15:00:00
6223,13916-105932,US,04:30:00,19:30:00,15:00:00
6224,10534-6186,US,04:30:00,19:00:00,14:30:00
6225,19673-139604,US,04:30:00,20:30:00,16:00:00
6226,49108-265005,US,07:00:00,21:00:00,14:00:00
6227,47436-253924,US,05:00:00,17:30:00,12:30:00
6228,47584-258969,US,05:00:00,19:00:00,14:00:00
6229,342-98553,US,04:30:00,20:00:00,15:30:00
6230,74960-90744,US,06:00:00,19:00:00,13:00:00
6231,3388-76041,US,04:30:00,19:30:00,15:00:00
6232,51265-245264,US,06:00:00,19:00:00,13:00:00
6233,3213-496,US,05:00:00,18:00:00,13:00:00
6234,3226-582,US,06:00:00,18:00:00,12:00:00
6235,337-103,US,10:00:00,20:00:00,10:00:00
6236,74408-87986,US,05:30:00,19:00:00,13:30:00
6237,3413-81096,US,05:00:00,18:00:00,13:00:00
6238,27827-244805,US,04:30:00,21:00:00,16:30:00
6239,47308-257670,US,04:30:00,17:30:00,13:00:00
6240,72176-22483,US,06:00:00,19:00:00,13:00:00
6241,15690-154018,US,04:30:00,17:30:00,13:00:00
6242,79670-104111,US,05:30:00,19:00:00,13:30:00
6243,312-21491,US,04:00:00,00:00:00,20:00:00
6244,8776-94101,US,04:30:00,19:00:00,14:30:00
6245,79369-102669,US,06:00:00,19:00:00,13:00:00
6246,11156-103992,US,05:30:00,18:00:00,12:30:00
6247,16384-168764,US,05:00:00,19:00:00,14:00:00
6248,79251-100437,US,06:00:00,19:00:00,13:00:00
6249,29394-253524,US,05:00:00,18:00:00,13:00:00
6250,9318-94483,US,03:30:00,19:30:00,16:00:00
6251,73494-49039,US,05:30:00,19:00:00,13:30:00
6252,3352-43239,US,04:30:00,19:00:00,14:30:00
6253,23885-233388,US,07:00:00,21:00:00,14:00:00
6254,3797-141366,US,05:00:00,19:00:00,14:00:00
6255,3245-291495,US,05:30:00,19:00:00,13:30:00
6256,74258-64219,US,06:00:00,19:00:00,13:00:00
6257,27523-244985,US,07:00:00,21:00:00,14:00:00
6258,8781-84562,US,04:30:00,18:30:00,14:00:00
6259,74826-99752,US,06:00:00,19:00:00,13:00:00
6260,313-96557,US,05:00:00,19:00:00,14:00:00
6261,3451-88086,US,03:30:00,20:30:00,17:00:00
6262,3252-1830,US,05:00:00,19:00:00,14:00:00
6263,52055-279584,US,04:00:00,21:00:00,17:00:00
6264,50138-255589,US,04:30:00,20:00:00,15:30:00
6266,10891-85603,US,05:00:00,19:30:00,14:30:00
6267,5464-1026,US,05:00:00,18:30:00,13:30:00
6268,611-409,US,05:00:00,18:30:00,13:30:00
6269,18113-165906,US,07:00:00,18:00:00,11:00:00
6270,70033-129847,US,11:00:00,19:00:00,08:00:00
6271,5404-1241,US,05:00:00,18:00:00,13:00:00
6272,14393-110285,US,05:00:00,19:00:00,14:00:00
6273,5757-13320,US,05:00:00,19:00:00,14:00:00
6274,5836-13469,US,06:30:00,16:30:00,10:00:00
6275,603-408,US,05:00:00,17:00:00,12:00:00
6276,6765-73139,US,06:00:00,18:30:00,12:30:00
6278,628-413,US,05:00:00,17:00:00,12:00:00
6279,24218-233045,US,06:30:00,19:00:00,12:30:00
6280,49304-267949,US,04:30:00,17:00:00,12:30:00
6281,17517-174624,US,05:00:00,17:00:00,12:00:00
6282,9216-9393,US,04:30:00,17:00:00,12:30:00
6283,10251-100645,US,06:30:00,15:30:00,09:00:00
6284,9213-9395,US,03:30:00,17:00:00,13:30:00
6285,47903-260244,US,05:00:00,18:00:00,13:00:00
6286,5431-267229,US,05:00:00,18:00:00,13:00:00
6287,9743-98200,US,05:00:00,17:00:00,12:00:00
6288,5405-666,US,07:00:00,17:00:00,10:00:00
6289,64609-298152,US,05:00:00,17:00:00,12:00:00
6290,74482-94458,US,05:30:00,18:00:00,12:30:00
6291,6677-73184,US,05:00:00,18:00:00,13:00:00
6292,5517-1240,US,05:00:00,17:00:00,12:00:00
6293,658-415,US,05:00:00,16:00:00,11:00:00
6294,617-410,US,05:00:00,18:00:00,13:00:00
6295,532-477,US,05:30:00,18:00:00,12:30:00
6296,5726-8485,US,05:30:00,18:00:00,12:30:00
6297,10892-85883,US,06:00:00,16:00:00,10:00:00
6298,509-452,US,05:00:00,18:00:00,13:00:00
6299,54768-286267,US,06:00:00,17:00:00,11:00:00
6300,10219-98551,US,05:30:00,17:00:00,11:30:00
6301,10450-100717,US,04:30:00,15:00:00,10:30:00
6302,10685-101589,US,10:00:00,18:00:00,08:00:00
6303,22238-218764,US,05:00:00,19:00:00,14:00:00
6304,76182-94131,US,08:00:00,20:00:00,12:00:00
6305,48311-262104,US,06:00:00,16:00:00,10:00:00
6306,14163-112146,US,05:00:00,22:00:00,17:00:00
6307,25260-240373,US,05:00:00,21:00:00,16:00:00
6308,74903-100483,US,06:00:00,20:00:00,14:00:00
6309,13374-105616,US,05:30:00,21:00:00,15:30:00
6310,63268-297542,US,06:00:00,18:00:00,12:00:00
6311,9477-96104,US,05:30:00,20:00:00,14:30:00
6312,57686-291815,US,05:00:00,22:00:00,17:00:00
6313,2566-245715,US,05:00:00,21:00:00,16:00:00
6314,49136-267145,US,06:00:00,14:00:00,08:00:00
6315,29698-253956,US,05:30:00,21:00:00,15:30:00
6316,65138-298212,US,05:30:00,20:00:00,14:30:00
6317,76478-97590,US,07:00:00,21:00:00,14:00:00
6318,14054-109864,US,05:00:00,22:00:00,17:00:00
6319,23422-230091,US,05:30:00,21:00:00,15:30:00
6320,15410-156746,US,08:00:00,20:00:00,12:00:00
6321,10635-98476,US,06:00:00,16:00:00,10:00:00
6322,2895-91866,US,05:00:00,21:00:00,16:00:00
6323,53817-285604,US,05:30:00,19:30:00,14:00:00
6324,2298-1578,US,05:30:00,20:00:00,14:30:00
6325,2299-267148,US,05:00:00,21:00:00,16:00:00
6326,9476-96101,US,05:30:00,21:30:00,16:00:00
6327,63606-298008,US,06:00:00,19:00:00,13:00:00
6328,23960-232525,US,06:00:00,15:00:00,09:00:00
6329,13442-106592,US,05:00:00,21:00:00,16:00:00
6330,16040-167105,US,07:00:00,22:00:00,15:00:00
6331,76743-97588,US,08:00:00,21:00:00,13:00:00
6332,10733-102412,US,04:30:00,21:00:00,16:30:00
6333,9462-96105,US,05:00:00,21:00:00,16:00:00
6334,76477-97586,US,08:00:00,20:00:00,12:00:00
6335,52430-281464,US,08:00:00,20:00:00,12:00:00
6336,11625-104858,US,05:00:00,21:00:00,16:00:00
6337,57155-290713,US,05:00:00,19:00:00,14:00:00
6338,2896-93151,US,05:30:00,21:00:00,15:30:00
6339,55736-146070,US,08:00:00,21:00:00,13:00:00
6340,29650-253957,US,05:00:00,21:00:00,16:00:00
6341,63837-297863,US,08:00:00,20:00:00,12:00:00
6342,19634-178947,US,05:00:00,22:00:00,17:00:00
6343,47307-257644,US,05:00:00,20:30:00,15:30:00
6344,50212-270014,US,06:00:00,20:00:00,14:00:00
6345,54238-285641,US,04:30:00,22:00:00,17:30:00
6346,2518-206946,US,05:00:00,21:00:00,16:00:00
6347,10905-103133,US,05:00:00,20:30:00,15:30:00
6348,50228-270011,US,06:00:00,20:00:00,14:00:00
6349,2567-42159,US,05:00:00,21:00:00,16:00:00
6350,23959-103303,US,06:00:00,20:00:00,14:00:00
6351,10735-102029,US,05:00:00,19:00:00,14:00:00
6352,10827-102902,US,05:00:00,20:00:00,15:00:00
6353,22805-223910,US,07:00:00,21:00:00,14:00:00
6354,76180-90430,US,08:00:00,21:00:00,13:00:00
6355,8691-93717,US,05:00:00,20:30:00,15:30:00
6356,2387-12043,US,06:00:00,22:30:00,16:30:00
6357,75386-103340,US,09:00:00,18:00:00,09:00:00
6358,2670-71240,US,05:00:00,21:00:00,16:00:00
6359,63103-296328,US,05:00:00,20:00:00,15:00:00
6360,48569-263826,US,05:30:00,19:30:00,14:00:00
6361,9398-96527,US,05:00:00,21:00:00,16:00:00
6362,10318-100360,US,05:00:00,19:00:00,14:00:00
6363,48899-263767,US,07:00:00,21:00:00,14:00:00
6364,8124-96074,US,05:00:00,19:30:00,14:30:00
6365,76230-90438,US,08:00:00,21:00:00,13:00:00
6366,52318-281407,US,05:30:00,19:30:00,14:00:00
6367,63292-297453,US,05:30:00,21:00:00,15:30:00
6368,48895-263768,US,06:00:00,21:00:00,15:00:00
6369,11130-101581,US,05:00:00,20:00:00,15:00:00
6370,9356-95632,US,05:30:00,20:00:00,14:30:00
6371,7619-17794,US,06:00:00,21:00:00,15:00:00
6372,2986-57420,US,06:00:00,20:00:00,14:00:00
6373,7868-81640,US,06:00:00,20:00:00,14:00:00
6374,7517-8689,US,05:00:00,22:00:00,17:00:00
6375,7914-78520,US,06:00:00,21:00:00,15:00:00
6376,61209-295619,US,06:00:00,20:00:00,14:00:00
6377,19570-195764,US,07:00:00,18:00:00,11:00:00
6378,9524-96169,US,06:00:00,21:00:00,15:00:00
6379,73801-96500,US,06:00:00,19:00:00,13:00:00
6380,29454-253890,US,05:00:00,21:00:00,16:00:00
6381,28718-250644,US,06:00:00,21:00:00,15:00:00
6382,25880-242727,US,05:30:00,20:00:00,14:30:00
6383,76279-91021,US,08:00:00,20:00:00,12:00:00
