issue,public_access_level,category,department,codebook_version,request_type_id,count_as_of_mid2024,definition
Unpermitted Electrical Work,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,27538,2567,
Unpermitted Fire System Work,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,16220,388,
Unpermitted HVAC Work,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,18298,1038,
Unpermitted Land Operations,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,33745,409,
Unpermitted Sign Construction,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,18300,173,
Utility Cut - Other,Block Level,Road/Street Issues,DPW - Permits,2015,16331,4523,
Utility Cut - PWSA,Block Level,,,2024,500,3712,
Utility Cut - Pittsburgh Water & Sewer Authority (PWSA),Block Level,Road/Street Issues,Pittsburgh Water & Sewer Authority (PWSA),2015,,,
Utility Pole,Block Level,Utility Issues,DPW - Permits,2015,530,1560,
Vacant Building,Block Level,Neighborhood Issues,"Permits, Licenses and Inspections",2015,27522,5810,
Vacant Lot,Block Level,,,2024,413,780,
Violations,Neighborhood,Garbage and Litter Issues,DPW - Refuse,2015,,,
Walkway or Trail,Block Level,Accessibility,311,2015,,,
Water Main Break,Block Level,Utility Issues,Pittsburgh Water & Sewer Authority,2015,532,1816,
Water Pressure,Block Level,Utility Issues,Pittsburgh Water & Sewer Authority,2015,533,139,
Water Runoff in ROW,Block Level,,,2024,412002,181,
Water/Drinking Fountains,Block Level,City Facilities and Infrastructure,DPW - Facilities,2015,827,1176,
Water/Drinking Fountains,Block Level,Parks Issues,DPW  - Facilities,2015,827,1176,
Weeds/Debris,Block Level,Neighborhood Issues,"Permits, Licenses and Inspections",2015,410,69632,
Wires,Block Level,Utility Issues,DPW - Permits,2015,534,3087,
Zoning Issue,Neighborhood,Business Issues,"Permits, Licenses and Inspections",2015,401,3498,
