Day,Hires
10/7/13,"26,680"
10/8/13,"27,598"
10/9/13,"26,433"
10/10/13,"23,497"
10/11/13,"15,640"
10/12/13,"17,068"
10/13/13,"7,068"
10/14/13,"18,979"
10/15/13,"24,657"
10/16/13,"20,562"
10/17/13,"25,170"
10/18/13,"24,880"
10/19/13,"17,430"
10/20/13,"11,396"
10/21/13,"21,385"
10/22/13,"22,316"
10/23/13,"24,178"
10/24/13,"26,399"
10/25/13,"23,677"
10/26/13,"16,986"
10/27/13,"15,652"
10/28/13,"14,577"
10/29/13,"23,126"
10/30/13,"24,753"
10/31/13,"20,055"
11/1/13,"20,597"
11/2/13,"15,347"
11/3/13,"13,063"
11/4/13,"20,369"
11/5/13,"19,326"
11/6/13,"18,431"
11/7/13,"22,527"
11/8/13,"15,188"
11/9/13,"6,772"
11/10/13,"9,767"
11/11/13,"14,377"
11/12/13,"19,572"
11/13/13,"22,021"
11/14/13,"21,061"
11/15/13,"20,850"
11/16/13,"15,029"
11/17/13,"12,340"
11/18/13,"18,491"
11/19/13,"20,335"
11/20/13,"14,115"
11/21/13,"18,668"
11/22/13,"18,789"
11/23/13,"13,276"
11/24/13,"10,505"
11/25/13,"19,201"
11/26/13,"20,486"
11/27/13,"20,274"
11/28/13,"20,649"
11/29/13,"19,397"
11/30/13,"13,323"
12/1/13,"11,711"
12/2/13,"19,630"
12/3/13,"20,242"
12/4/13,"20,035"
12/5/13,"18,326"
12/6/13,"18,494"
12/7/13,"13,625"
12/8/13,"13,076"
12/9/13,"19,969"
12/10/13,"20,432"
12/11/13,"19,123"
12/12/13,"19,420"
12/13/13,"16,921"
12/14/13,"14,049"
12/15/13,"8,557"
12/16/13,"13,825"
12/17/13,"15,689"
12/18/13,"17,311"
12/19/13,"17,738"
12/20/13,"18,046"
12/21/13,"5,774"
12/22/13,"9,233"
12/23/13,"6,246"
12/24/13,"6,201"
12/25/13,"27,715"
12/26/13,"7,666"
12/27/13,"7,258"
12/28/13,"10,533"
12/29/13,"10,983"
12/30/13,"8,413"
12/31/13,"7,701"
1/1/14,"4,327"
1/2/14,"15,820"
1/3/14,"11,636"
1/4/14,"6,918"
1/5/14,"9,145"
1/6/14,"13,066"
1/7/14,"17,420"
1/8/14,"19,770"
1/9/14,"19,143"
1/10/14,"18,840"
1/11/14,"15,723"
1/12/14,"11,975"
1/13/14,"17,721"
1/14/14,"20,740"
1/15/14,"19,243"
1/16/14,"18,861"
1/17/14,"17,434"
1/18/14,"15,333"
1/19/14,"16,083"
1/20/14,"21,218"
1/21/14,"21,756"
1/22/14,"21,072"
1/23/14,"20,020"
1/24/14,"19,272"
1/25/14,"14,581"
1/26/14,"7,033"
1/27/14,"18,285"
1/28/14,"19,939"
1/29/14,"10,585"
1/30/14,"17,052"
1/31/14,"13,859"
2/1/14,"13,981"
2/2/14,"15,924"
2/3/14,"20,370"
2/4/14,"21,217"
2/5/14,"29,418"
2/6/14,"25,395"
2/7/14,"19,857"
2/8/14,"10,928"
2/9/14,"11,657"
2/10/14,"19,278"
2/11/14,"18,514"
2/12/14,"18,000"
2/13/14,"20,954"
2/14/14,"12,794"
2/15/14,"11,208"
2/16/14,"18,484"
2/17/14,"19,013"
2/18/14,"19,484"
2/19/14,"21,556"
2/20/14,"19,396"
2/21/14,"21,269"
2/22/14,"20,033"
2/23/14,"13,680"
2/24/14,"21,469"
2/25/14,"20,713"
2/26/14,"23,938"
2/27/14,"20,629"
2/28/14,"13,781"
3/1/14,"18,823"
3/2/14,"11,727"
3/3/14,"18,150"
3/4/14,"23,069"
3/5/14,"25,102"
3/6/14,"24,696"
3/7/14,"24,385"
3/8/14,"25,556"
3/9/14,"33,955"
3/10/14,"24,347"
3/11/14,"23,871"
3/12/14,"27,173"
3/13/14,"27,552"
3/14/14,"28,134"
3/15/14,"29,664"
3/16/14,"34,421"
3/17/14,"26,465"
3/18/14,"25,502"
3/19/14,"26,719"
3/20/14,"23,718"
3/21/14,"23,821"
3/22/14,"19,091"
3/23/14,"17,463"
3/24/14,"24,055"
3/25/14,"19,421"
3/26/14,"20,493"
3/27/14,"23,462"
3/28/14,"24,198"
3/29/14,"29,511"
3/30/14,"26,605"
3/31/14,"26,715"
4/1/14,"29,782"
4/2/14,"28,876"
4/3/14,"28,245"
4/4/14,"27,401"
4/5/14,"25,648"
4/6/14,"16,387"
4/7/14,"18,883"
4/8/14,"26,654"
4/9/14,"29,621"
4/10/14,"29,229"
4/11/14,"28,435"
4/12/14,"25,706"
4/13/14,"31,404"
4/14/14,"28,742"
4/15/14,"30,031"
4/16/14,"30,934"
4/17/14,"27,676"
4/18/14,"22,152"
4/19/14,"21,424"
4/20/14,"7,188"
4/21/14,"20,532"
4/22/14,"22,689"
4/23/14,"27,102"
4/24/14,"29,119"
4/25/14,"20,400"
4/26/14,"25,195"
4/27/14,"21,284"
4/28/14,"29,474"
4/29/14,"46,333"
4/30/14,"49,025"
5/1/14,"16,644"
5/2/14,"26,510"
5/3/14,"31,534"
5/4/14,"33,030"
5/5/14,"33,748"
5/6/14,"32,323"
5/7/14,"28,802"
5/8/14,"19,398"
5/9/14,"30,131"
5/10/14,"19,373"
5/11/14,"17,645"
5/12/14,"26,149"
5/13/14,"25,351"
5/14/14,"34,122"
5/15/14,"35,148"
5/16/14,"36,268"
5/17/14,"38,147"
5/18/14,"43,663"
5/19/14,"37,088"
5/20/14,"33,626"
5/21/14,"34,437"
5/22/14,"30,819"
5/23/14,"30,556"
5/24/14,"18,723"
5/25/14,"33,401"
5/26/14,"12,049"
5/27/14,"14,446"
5/28/14,"21,978"
5/29/14,"29,229"
5/30/14,"31,331"
5/31/14,"35,040"
6/1/14,"36,655"
6/2/14,"33,481"
6/3/14,"29,332"
6/4/14,"25,905"
6/5/14,"34,617"
6/6/14,"37,440"
6/7/14,"29,919"
6/8/14,"44,415"
6/9/14,"34,305"
6/10/14,"40,128"
6/11/14,"39,582"
6/12/14,"39,928"
6/13/14,"40,036"
6/14/14,"32,758"
6/15/14,"28,944"
6/16/14,"31,592"
6/17/14,"37,658"
6/18/14,"35,431"
6/19/14,"36,113"
6/20/14,"36,924"
6/21/14,"42,463"
6/22/14,"41,596"
6/23/14,"35,206"
6/24/14,"38,066"
6/25/14,"39,623"
6/26/14,"35,438"
6/27/14,"35,912"
6/28/14,"20,199"
6/29/14,"26,714"
6/30/14,"32,193"
7/1/14,"39,495"
7/2/14,"40,878"
7/3/14,"43,116"
7/4/14,"38,316"
7/5/14,"27,332"
7/6/14,"31,117"
7/7/14,"36,191"
7/8/14,"35,107"
7/9/14,"38,844"
7/10/14,"32,108"
7/11/14,"27,618"
7/12/14,"38,331"
7/13/14,"33,227"
7/14/14,"38,450"
7/15/14,"40,888"
7/16/14,"42,341"
7/17/14,"42,404"
7/18/14,"40,543"
7/19/14,"37,061"
7/20/14,"34,379"
7/21/14,"38,499"
7/22/14,"42,928"
7/23/14,"42,486"
7/24/14,"42,412"
7/25/14,"31,881"
7/26/14,"43,788"
7/27/14,"39,917"
7/28/14,"36,203"
7/29/14,"42,308"
7/30/14,"43,044"
7/31/14,"41,970"
8/1/14,"40,009"
8/2/14,"38,046"
8/3/14,"41,944"
8/4/14,"39,856"
8/5/14,"40,716"
8/6/14,"38,665"
8/7/14,"42,491"
8/8/14,"34,234"
8/9/14,"47,454"
8/10/14,"23,980"
8/11/14,"31,725"
8/12/14,"34,827"
8/13/14,"37,856"
8/14/14,"27,185"
8/15/14,"32,510"
8/16/14,"47,245"
8/17/14,"39,952"
8/18/14,"30,784"
8/19/14,"35,332"
8/20/14,"36,817"
8/21/14,"33,236"
8/22/14,"34,047"
8/23/14,"29,999"
8/24/14,"30,962"
8/25/14,"6,175"
8/26/14,"18,448"
8/27/14,"32,286"
8/28/14,"31,842"
8/29/14,"32,439"
8/30/14,"30,832"
8/31/14,"33,312"
9/1/14,"27,455"
9/2/14,"36,836"
9/3/14,"36,523"
9/4/14,"35,448"
9/5/14,"35,013"
9/6/14,"33,434"
9/7/14,"34,248"
9/8/14,"36,983"
9/9/14,"37,674"
9/10/14,"37,091"
9/11/14,"35,303"
9/12/14,"37,144"
9/13/14,"34,174"
9/14/14,"31,770"
9/15/14,"36,629"
9/16/14,"37,535"
9/17/14,"38,583"
9/18/14,"38,442"
9/19/14,"36,841"
9/20/14,"31,031"
9/21/14,"33,334"
9/22/14,"35,178"
9/23/14,"36,460"
9/24/14,"32,680"
9/25/14,"35,367"
9/26/14,"35,474"
9/27/14,"35,087"
9/28/14,"37,873"
9/29/14,"31,701"
9/30/14,"37,373"
10/1/14,"32,733"
10/2/14,"36,992"
10/3/14,"37,909"
10/4/14,"18,967"
10/5/14,"33,082"
10/6/14,"24,330"
10/7/14,"31,465"
10/8/14,"23,573"
10/9/14,"26,642"
10/10/14,"32,510"
10/11/14,"30,498"
10/12/14,"23,063"
10/13/14,"13,299"
10/14/14,"28,518"
10/15/14,"25,424"
10/16/14,"31,541"
10/17/14,"32,770"
10/18/14,"28,951"
10/19/14,"30,480"
10/20/14,"31,642"
10/21/14,"24,681"
10/22/14,"30,642"
10/23/14,"31,277"
10/24/14,"29,144"
10/25/14,"30,053"
10/26/14,"26,514"
10/27/14,"33,716"
10/28/14,"35,320"
10/29/14,"23,281"
10/30/14,"32,503"
10/31/14,"36,478"
11/1/14,"31,912"
11/2/14,"15,887"
11/3/14,"22,347"
11/4/14,"23,525"
11/5/14,"27,970"
11/6/14,"28,274"
11/7/14,"26,779"
11/8/14,"17,473"
11/9/14,"24,099"
11/10/14,"28,303"
11/11/14,"28,993"
11/12/14,"24,878"
11/13/14,"27,839"
11/14/14,"21,442"
11/15/14,"22,842"
11/16/14,"17,849"
11/17/14,"21,398"
11/18/14,"26,094"
11/19/14,"28,807"
11/20/14,"29,068"
11/21/14,"24,070"
11/22/14,"18,347"
11/23/14,"6,030"
11/24/14,"25,884"
11/25/14,"24,359"
11/26/14,"23,096"
11/27/14,"26,765"
11/28/14,"26,782"
11/29/14,"24,337"
11/30/14,"19,998"
12/1/14,"24,983"
12/2/14,"21,614"
12/3/14,"25,376"
12/4/14,"19,993"
12/5/14,"22,939"
12/6/14,"17,431"
12/7/14,"12,789"
12/8/14,"23,519"
12/9/14,"23,925"
12/10/14,"25,028"
12/11/14,"23,028"
12/12/14,"20,436"
12/13/14,"18,255"
12/14/14,"14,441"
12/15/14,"22,940"
12/16/14,"23,087"
12/17/14,"22,120"
12/18/14,"23,196"
12/19/14,"21,966"
12/20/14,"14,690"
12/21/14,"11,802"
12/22/14,"18,552"
12/23/14,"16,551"
12/24/14,"10,385"
12/25/14,"39,145"
12/26/14,"7,678"
12/27/14,"6,349"
12/28/14,"9,293"
12/29/14,"12,411"
12/30/14,"13,120"
12/31/14,"12,811"
1/1/15,"9,615"
1/2/15,"15,389"
1/3/15,"5,779"
1/4/15,"9,367"
1/5/15,"20,566"
1/6/15,"20,765"
1/7/15,"22,504"
1/8/15,"15,769"
1/9/15,"22,285"
1/10/15,"14,877"
1/11/15,"14,738"
1/12/15,"17,354"
1/13/15,"24,966"
1/14/15,"23,767"
1/15/15,"23,123"
1/16/15,"22,894"
1/17/15,"15,443"
1/18/15,"13,373"
1/19/15,"23,193"
1/20/15,"23,384"
1/21/15,"22,987"
1/22/15,"23,432"
1/23/15,"22,093"
1/24/15,"17,748"
1/25/15,"15,267"
1/26/15,"22,867"
1/27/15,"25,222"
1/28/15,"21,685"
1/29/15,"21,421"
1/30/15,"21,405"
1/31/15,"10,385"
2/1/15,"11,420"
2/2/15,"21,770"
2/3/15,"20,028"
2/4/15,"22,056"
2/5/15,"21,396"
2/6/15,"21,146"
2/7/15,"13,324"
2/8/15,"15,983"
2/9/15,"24,078"
2/10/15,"24,399"
2/11/15,"23,870"
2/12/15,"23,429"
2/13/15,"17,836"
2/14/15,"14,644"
2/15/15,"17,253"
2/16/15,"16,548"
2/17/15,"25,288"
2/18/15,"25,340"
2/19/15,"17,081"
2/20/15,"21,014"
2/21/15,"16,490"
2/22/15,"9,214"
2/23/15,"21,857"
2/24/15,"23,758"
2/25/15,"21,708"
2/26/15,"20,131"
2/27/15,"24,540"
2/28/15,"13,677"
3/1/15,"15,817"
3/2/15,"22,379"
3/3/15,"24,001"
3/4/15,"24,544"
3/5/15,"24,959"
3/6/15,"25,527"
3/7/15,"27,754"
3/8/15,"20,207"
3/9/15,"24,230"
3/10/15,"27,878"
3/11/15,"27,610"
3/12/15,"28,324"
3/13/15,"25,840"
3/14/15,"18,270"
3/15/15,"10,744"
3/16/15,"19,950"
3/17/15,"25,956"
3/18/15,"26,618"
3/19/15,"24,241"
3/20/15,"25,424"
3/21/15,"16,304"
3/22/15,"18,782"
3/23/15,"25,741"
3/24/15,"24,161"
3/25/15,"25,779"
3/26/15,"20,415"
3/27/15,"26,567"
3/28/15,"19,242"
3/29/15,"8,987"
3/30/15,"22,235"
3/31/15,"22,898"
4/1/15,"23,677"
4/2/15,"22,818"
4/3/15,"11,503"
4/4/15,"13,828"
4/5/15,"19,685"
4/6/15,"25,724"
4/7/15,"29,525"
4/8/15,"30,882"
4/9/15,"31,671"
4/10/15,"32,299"
4/11/15,"25,415"
4/12/15,"29,457"
4/13/15,"28,203"
4/14/15,"34,830"
4/15/15,"37,709"
4/16/15,"30,656"
4/17/15,"30,001"
4/18/15,"29,846"
4/19/15,"19,906"
4/20/15,"32,163"
4/21/15,"35,103"
4/22/15,"32,559"
4/23/15,"32,935"
4/24/15,"32,332"
4/25/15,"25,441"
4/26/15,"19,565"
4/27/15,"30,735"
4/28/15,"32,024"
4/29/15,"26,197"
4/30/15,"31,854"
5/1/15,"29,822"
5/2/15,"22,474"
5/3/15,"21,375"
5/4/15,"26,933"
5/5/15,"26,633"
5/6/15,"24,556"
5/7/15,"31,283"
5/8/15,"27,029"
5/9/15,"27,995"
5/10/15,"32,399"
5/11/15,"33,872"
5/12/15,"33,930"
5/13/15,"36,877"
5/14/15,"15,657"
5/15/15,"32,522"
5/16/15,"32,720"
5/17/15,"31,506"
5/18/15,"24,385"
5/19/15,"28,408"
5/20/15,"30,650"
5/21/15,"34,922"
5/22/15,"33,624"
5/23/15,"23,989"
5/24/15,"30,267"
5/25/15,"29,607"
5/26/15,"34,880"
5/27/15,"36,496"
5/28/15,"34,496"
5/29/15,"26,155"
5/30/15,"29,432"
5/31/15,"15,075"
6/1/15,"27,893"
6/2/15,"28,070"
6/3/15,"35,630"
6/4/15,"39,687"
6/5/15,"35,048"
6/6/15,"33,088"
6/7/15,"35,757"
6/8/15,"32,745"
6/9/15,"33,447"
6/10/15,"35,862"
6/11/15,"38,969"
6/12/15,"35,367"
6/13/15,"30,566"
6/14/15,"25,402"
6/15/15,"34,723"
6/16/15,"38,166"
6/17/15,"38,799"
6/18/15,"38,875"
6/19/15,"36,220"
6/20/15,"26,546"
6/21/15,"30,621"
6/22/15,"29,711"
6/23/15,"37,663"
6/24/15,"39,183"
6/25/15,"38,856"
6/26/15,"37,281"
6/27/15,"36,885"
6/28/15,"25,846"
6/29/15,"39,280"
6/30/15,"43,582"
7/1/15,"42,891"
7/2/15,"38,467"
7/3/15,"39,940"
7/4/15,"38,640"
7/5/15,"29,963"
7/6/15,"38,895"
7/7/15,"38,120"
7/8/15,"41,921"
7/9/15,"73,094"
7/10/15,"43,266"
7/11/15,"42,676"
7/12/15,"23,498"
7/13/15,"27,646"
7/14/15,"35,600"
7/15/15,"34,878"
7/16/15,"39,609"
7/17/15,"38,845"
7/18/15,"38,906"
7/19/15,"36,989"
7/20/15,"32,140"
7/21/15,"41,001"
7/22/15,"38,133"
7/23/15,"39,368"
7/24/15,"16,135"
7/25/15,"32,982"
7/26/15,"12,497"
7/27/15,"32,103"
7/28/15,"36,310"
7/29/15,"37,021"
7/30/15,"36,350"
7/31/15,"36,932"
8/1/15,"43,492"
8/2/15,"43,679"
8/3/15,"35,609"
8/4/15,"37,864"
8/5/15,"39,010"
8/6/15,"63,963"
8/7/15,"39,788"
8/8/15,"39,362"
8/9/15,"40,758"
8/10/15,"35,625"
8/11/15,"34,567"
8/12/15,"36,838"
8/13/15,"26,185"
8/14/15,"25,638"
8/15/15,"34,137"
8/16/15,"30,948"
8/17/15,"36,003"
8/18/15,"34,776"
8/19/15,"31,903"
8/20/15,"32,857"
8/21/15,"36,329"
8/22/15,"44,724"
8/23/15,"27,202"
8/24/15,"17,520"
8/25/15,"28,401"
8/26/15,"23,969"
8/27/15,"30,856"
8/28/15,"33,201"
8/29/15,"22,828"
8/30/15,"25,191"
8/31/15,"9,709"
9/1/15,"25,739"
9/2/15,"30,313"
9/3/15,"31,163"
9/4/15,"29,913"
9/5/15,"22,475"
9/6/15,"29,539"
9/7/15,"31,917"
9/8/15,"32,968"
9/9/15,"33,332"
9/10/15,"35,956"
9/11/15,"34,690"
9/12/15,"29,143"
9/13/15,"26,342"
9/14/15,"25,923"
9/15/15,"28,311"
9/16/15,"18,764"
9/17/15,"32,336"
9/18/15,"30,124"
9/19/15,"33,855"
9/20/15,"31,380"
9/21/15,"23,831"
9/22/15,"20,567"
9/23/15,"34,193"
9/24/15,"29,537"
9/25/15,"35,064"
9/26/15,"32,955"
9/27/15,"30,024"
9/28/15,"33,341"
9/29/15,"34,591"
9/30/15,"35,143"
10/1/15,"34,845"
10/2/15,"35,782"
10/3/15,"29,224"
10/4/15,"30,096"
10/5/15,"20,833"
10/6/15,"25,972"
10/7/15,"28,817"
10/8/15,"33,877"
10/9/15,"34,392"
10/10/15,"29,683"
10/11/15,"27,984"
10/12/15,"31,469"
10/13/15,"31,753"
10/14/15,"30,815"
10/15/15,"31,062"
10/16/15,"30,295"
10/17/15,"24,555"
10/18/15,"23,282"
10/19/15,"30,127"
10/20/15,"32,949"
10/21/15,"19,085"
10/22/15,"30,539"
10/23/15,"30,515"
10/24/15,"17,058"
10/25/15,"23,591"
10/26/15,"30,606"
10/27/15,"32,635"
10/28/15,"24,040"
10/29/15,"27,534"
10/30/15,"24,195"
10/31/15,"27,765"
11/1/15,"23,085"
11/2/15,"28,256"
11/3/15,"30,911"
11/4/15,"23,675"
11/5/15,"24,685"
11/6/15,"25,677"
11/7/15,"15,031"
11/8/15,"18,943"
11/9/15,"28,623"
11/10/15,"29,429"
11/11/15,"30,049"
11/12/15,"29,108"
11/13/15,"25,410"
11/14/15,"8,983"
11/15/15,"17,711"
11/16/15,"26,676"
11/17/15,"23,773"
11/18/15,"26,636"
11/19/15,"23,852"
11/20/15,"25,993"
11/21/15,"12,847"
11/22/15,"13,205"
11/23/15,"24,070"
11/24/15,"21,348"
11/25/15,"26,187"
11/26/15,"26,826"
11/27/15,"23,667"
11/28/15,"16,523"
11/29/15,"11,453"
11/30/15,"21,886"
12/1/15,"26,714"
12/2/15,"27,975"
12/3/15,"26,038"
12/4/15,"26,130"
12/5/15,"16,667"
12/6/15,"15,627"
12/7/15,"25,897"
12/8/15,"23,565"
12/9/15,"27,739"
12/10/15,"23,251"
12/11/15,"23,439"
12/12/15,"16,815"
12/13/15,"12,364"
12/14/15,"23,972"
12/15/15,"20,310"
12/16/15,"25,740"
12/17/15,"25,977"
12/18/15,"25,886"
12/19/15,"18,883"
12/20/15,"13,118"
12/21/15,"18,239"
12/22/15,"17,571"
12/23/15,"18,568"
12/24/15,"8,968"
12/25/15,"22,871"
12/26/15,"10,362"
12/27/15,"9,507"
12/28/15,"13,851"
12/29/15,"15,717"
12/30/15,"12,379"
12/31/15,"14,024"
1/1/16,"9,922"
1/2/16,"7,246"
1/3/16,"4,894"
1/4/16,"20,644"
1/5/16,"22,934"
1/6/16,"23,199"
1/7/16,"18,225"
1/8/16,"20,948"
1/9/16,"11,674"
1/10/16,"14,447"
1/11/16,"21,188"
1/12/16,"22,924"
1/13/16,"24,726"
1/14/16,"22,266"
1/15/16,"22,594"
1/16/16,"16,258"
1/17/16,"11,826"
1/18/16,"22,905"
1/19/16,"23,919"
1/20/16,"23,919"
1/21/16,"23,490"
1/22/16,"18,431"
1/23/16,"17,424"
1/24/16,"16,474"
1/25/16,"25,886"
1/26/16,"20,329"
1/27/16,"21,816"
1/28/16,"25,490"
1/29/16,"22,701"
1/30/16,"16,528"
1/31/16,"11,098"
2/1/16,"23,742"
2/2/16,"24,643"
2/3/16,"24,601"
2/4/16,"25,344"
2/5/16,"22,806"
2/6/16,"13,255"
2/7/16,"14,219"
2/8/16,"19,924"
2/9/16,"23,460"
2/10/16,"23,769"
2/11/16,"25,393"
2/12/16,"22,995"
2/13/16,"9,948"
2/14/16,"13,782"
2/15/16,"21,918"
2/16/16,"24,537"
2/17/16,"19,168"
2/18/16,"23,696"
2/19/16,"22,300"
2/20/16,"11,224"
2/21/16,"14,745"
2/22/16,"20,538"
2/23/16,"25,832"
2/24/16,"25,634"
2/25/16,"24,296"
2/26/16,"23,714"
2/27/16,"14,871"
2/28/16,"13,549"
2/29/16,"23,738"
3/1/16,"20,876"
3/2/16,"20,775"
3/3/16,"24,559"
3/4/16,"24,179"
3/5/16,"12,340"
3/6/16,"12,591"
3/7/16,"22,785"
3/8/16,"23,308"
3/9/16,"19,280"
3/10/16,"23,648"
3/11/16,"21,026"
3/12/16,"21,834"
3/13/16,"21,938"
3/14/16,"25,597"
3/15/16,"25,379"
3/16/16,"25,489"
3/17/16,"27,198"
3/18/16,"23,210"
3/19/16,"18,060"
3/20/16,"17,163"
3/21/16,"25,990"
3/22/16,"29,312"
3/23/16,"27,052"
3/24/16,"19,477"
3/25/16,"25,612"
3/26/16,"11,211"
3/27/16,"10,149"
3/28/16,"10,316"
3/29/16,"18,945"
3/30/16,"26,700"
3/31/16,"28,486"
4/1/16,"27,310"
4/2/16,"24,416"
4/3/16,"21,068"
4/4/16,"25,182"
4/5/16,"30,155"
4/6/16,"24,132"
4/7/16,"22,338"
4/8/16,"27,357"
4/9/16,"19,858"
4/10/16,"23,389"
4/11/16,"24,162"
4/12/16,"30,801"
4/13/16,"30,285"
4/14/16,"30,566"
4/15/16,"15,919"
4/16/16,"17,801"
4/17/16,"18,274"
4/18/16,"28,512"
4/19/16,"33,719"
4/20/16,"34,577"
4/21/16,"31,937"
4/22/16,"20,532"
4/23/16,"22,060"
4/24/16,"18,873"
4/25/16,"24,389"
4/26/16,"27,862"
4/27/16,"28,431"
4/28/16,"28,901"
4/29/16,"25,658"
4/30/16,"24,844"
5/1/16,"29,664"
5/2/16,"19,598"
5/3/16,"32,037"
5/4/16,"36,514"
5/5/16,"39,104"
5/6/16,"40,117"
5/7/16,"44,532"
5/8/16,"45,301"
5/9/16,"30,821"
5/10/16,"21,673"
5/11/16,"27,922"
5/12/16,"38,525"
5/13/16,"35,109"
5/14/16,"30,442"
5/15/16,"34,725"
5/16/16,"37,441"
5/17/16,"36,810"
5/18/16,"24,335"
5/19/16,"34,655"
5/20/16,"36,101"
5/21/16,"26,785"
5/22/16,"31,115"
5/23/16,"35,451"
5/24/16,"36,580"
5/25/16,"31,919"
5/26/16,"37,442"
5/27/16,"36,133"
5/28/16,"31,301"
5/29/16,"31,246"
5/30/16,"24,041"
5/31/16,"16,227"
6/1/16,"27,156"
6/2/16,"29,162"
6/3/16,"29,580"
6/4/16,"30,140"
6/5/16,"40,836"
6/6/16,"39,528"
6/7/16,"35,137"
6/8/16,"34,588"
6/9/16,"41,546"
6/10/16,"40,139"
6/11/16,"29,018"
6/12/16,"18,109"
6/13/16,"27,571"
6/14/16,"30,218"
6/15/16,"37,704"
6/16/16,"31,406"
6/17/16,"32,018"
6/18/16,"29,692"
6/19/16,"31,372"
6/20/16,"22,309"
6/21/16,"39,003"
6/22/16,"36,628"
6/23/16,"25,129"
6/24/16,"36,530"
6/25/16,"26,357"
6/26/16,"29,597"
6/27/16,"33,695"
6/28/16,"31,701"
6/29/16,"31,496"
6/30/16,"35,867"
7/1/16,"28,108"
7/2/16,"30,802"
7/3/16,"34,195"
7/4/16,"37,628"
7/5/16,"40,955"
7/6/16,"42,871"
7/7/16,"39,670"
7/8/16,"37,311"
7/9/16,"34,525"
7/10/16,"29,556"
7/11/16,"32,781"
7/12/16,"30,186"
7/13/16,"36,128"
7/14/16,"40,364"
7/15/16,"37,045"
7/16/16,"38,916"
7/17/16,"38,340"
7/18/16,"43,497"
7/19/16,"46,625"
7/20/16,"45,156"
7/21/16,"41,731"
7/22/16,"36,401"
7/23/16,"42,121"
7/24/16,"39,070"
7/25/16,"40,999"
7/26/16,"42,528"
7/27/16,"33,646"
7/28/16,"39,009"
7/29/16,"35,737"
7/30/16,"46,251"
7/31/16,"46,276"
8/1/16,"30,074"
8/2/16,"28,949"
8/3/16,"40,683"
8/4/16,"39,488"
8/5/16,"40,570"
8/6/16,"42,579"
8/7/16,"38,620"
8/8/16,"38,117"
8/9/16,"40,052"
8/10/16,"38,917"
8/11/16,"38,034"
8/12/16,"40,645"
8/13/16,"43,792"
8/14/16,"44,648"
8/15/16,"41,764"
8/16/16,"40,899"
8/17/16,"42,879"
8/18/16,"39,379"
8/19/16,"25,862"
8/20/16,"24,712"
8/21/16,"28,625"
8/22/16,"36,064"
8/23/16,"42,558"
8/24/16,"41,088"
8/25/16,"38,191"
8/26/16,"38,222"
8/27/16,"32,656"
8/28/16,"26,325"
8/29/16,"34,665"
8/30/16,"39,992"
8/31/16,"39,344"
9/1/16,"40,302"
9/2/16,"34,661"
9/3/16,"23,805"
9/4/16,"27,901"
9/5/16,"28,210"
9/6/16,"37,982"
9/7/16,"40,232"
9/8/16,"41,004"
9/9/16,"36,554"
9/10/16,"17,308"
9/11/16,"39,906"
9/12/16,"39,687"
9/13/16,"44,035"
9/14/16,"44,909"
9/15/16,"42,598"
9/16/16,"22,204"
9/17/16,"27,548"
9/18/16,"29,830"
9/19/16,"33,401"
9/20/16,"37,658"
9/21/16,"40,646"
9/22/16,"38,411"
9/23/16,"38,963"
9/24/16,"36,243"
9/25/16,"30,015"
9/26/16,"35,059"
9/27/16,"36,094"
9/28/16,"38,893"
9/29/16,"34,840"
9/30/16,"34,140"
10/1/16,"17,832"
10/2/16,"27,335"
10/3/16,"35,892"
10/4/16,"37,162"
10/5/16,"36,314"
10/6/16,"35,332"
10/7/16,"33,361"
10/8/16,"27,236"
10/9/16,"25,390"
10/10/16,"33,045"
10/11/16,"35,254"
10/12/16,"32,552"
10/13/16,"30,762"
10/14/16,"32,637"
10/15/16,"23,773"
10/16/16,"18,685"
10/17/16,"29,007"
10/18/16,"33,062"
10/19/16,"33,953"
10/20/16,"32,624"
10/21/16,"30,838"
10/22/16,"26,322"
10/23/16,"23,812"
10/24/16,"30,329"
10/25/16,"33,313"
10/26/16,"34,322"
10/27/16,"34,203"
10/28/16,"33,769"
10/29/16,"28,114"
10/30/16,"24,166"
10/31/16,"34,747"
11/1/16,"32,334"
11/2/16,"32,316"
11/3/16,"31,111"
11/4/16,"22,143"
11/5/16,"19,649"
11/6/16,"13,576"
11/7/16,"17,329"
11/8/16,"26,382"
11/9/16,"18,878"
11/10/16,"26,075"
11/11/16,"28,088"
11/12/16,"9,709"
11/13/16,"19,258"
11/14/16,"24,824"
11/15/16,"28,810"
11/16/16,"27,646"
11/17/16,"27,692"
11/18/16,"26,884"
11/19/16,"18,288"
11/20/16,"10,704"
11/21/16,"19,374"
11/22/16,"27,723"
11/23/16,"29,047"
11/24/16,"28,091"
11/25/16,"27,692"
11/26/16,"19,805"
11/27/16,"15,628"
11/28/16,"26,980"
11/29/16,"27,847"
11/30/16,"27,119"
12/1/16,"26,431"
12/2/16,"26,223"
12/3/16,"18,120"
12/4/16,"15,448"
12/5/16,"26,456"
12/6/16,"28,347"
12/7/16,"29,735"
12/8/16,"28,632"
12/9/16,"30,076"
12/10/16,"15,054"
12/11/16,"17,713"
12/12/16,"25,476"
12/13/16,"26,747"
12/14/16,"29,130"
12/15/16,"28,449"
