storeNumber,opening_times
627-412,5:30:00
6480-59919,5:00:00
14829-136406,4:30:00
568-295743,5:00:00
75818-96847,6:00:00
612-326,4:30:00
74187-119285,5:30:00
5764-290308,5:00:00
5105-147204,8:00:00
27080-246665,4:30:00
9341-241589,4:30:00
74911-101861,5:00:00
11238-102723,5:30:00
79789-102916,5:30:00
9897-93936,6:00:00
29626-254204,8:00:00
13557-107473,5:00:00
6663-72681,4:30:00
8676-72761,5:00:00
645-362,5:00:00
10143-74983,4:30:00
74951-101849,5:00:00
10669-100788,4:30:00
667-369,4:30:00
17377-171704,7:00:00
26673-244864,5:30:00
74481-73613,5:30:00
20587-81360,5:00:00
9553-97067,5:00:00
53811-285560,5:00:00
3781-140185,5:00:00
5905-33879,6:00:00
74794-99745,6:00:00
55348-286143,4:30:00
9261-95920,5:00:00
10253-100062,5:30:00
5276-741,5:30:00
8977-94123,4:30:00
74476-83324,6:00:00
11190-101877,5:30:00
17094-177244,8:00:00
59833-293019,11:00:00
14267-109285,5:00:00
5362-165285,5:00:00
24472-238085,5:00:00
58312-292015,5:00:00
8990-94865,5:30:00
5590-238083,5:00:00
76521-99292,8:00:00
29571-246914,5:00:00
76737-105127,8:00:00
13414-106709,4:30:00
5866-27350,5:30:00
8652-93725,4:30:00
5466-270510,5:30:00
75279-97118,9:00:00
52989-282927,7:00:00
17996-178545,5:30:00
6417-39800,4:30:00
23648-231585,5:00:00
9764-97643,5:00:00
5588-238086,5:00:00
60943-294398,7:30:00
5467-278424,5:00:00
10119-99305,5:00:00
61203-295145,5:00:00
76457-97169,8:00:00
8794-94063,5:00:00
26155-238026,5:30:00
5805-10752,5:30:00
13923-108288,5:30:00
5791-239810,4:30:00
63770-297484,5:00:00
48926-263693,4:30:00
20786-207784,8:00:00
54482-286144,7:00:00
5701-225324,4:30:00
13413-105007,4:30:00
5845-263694,4:30:00
51961-270508,4:30:00
22707-97168,6:00:00
29677-253433,4:30:00
50274-270506,4:30:00
51106-270507,5:00:00
47714-259464,5:00:00
13657-106849,5:30:00
11063-101736,5:00:00
8924-95103,5:00:00
48488-262666,7:00:00
53511-284586,11:00:00
14344-107964,5:00:00
6258-290442,5:00:00
53662-283121,6:00:00
3496-126606,6:00:00
8997-95536,5:30:00
76614-98014,8:00:00
10923-101887,5:00:00
10617-100445,5:00:00
23896-233624,5:00:00
74656-95808,6:00:00
55711-277746,5:00:00
6363-165204,5:00:00
22297-219864,5:00:00
63553-293007,5:00:00
11303-102729,5:00:00
6422-25493,6:00:00
70361-139487,8:00:00
14099-108265,5:00:00
14446-117510,5:00:00
22301-219824,5:00:00
14860-118064,5:00:00
76420-93272,8:00:00
6772-293156,5:00:00
6402-33619,5:00:00
11556-103677,5:00:00
9676-97296,5:00:00
8884-94759,5:00:00
27863-248904,5:00:00
48298-251044,6:00:00
13331-104028,6:00:00
76109-79322,8:00:00
54430-277752,5:00:00
76811-110962,8:00:00
13816-111584,5:00:00
6268-186534,5:00:00
17649-165367,5:00:00
6251-1151,5:30:00
27543-246893,10:00:00
6373-173506,5:00:00
29459-253950,5:00:00
76987-137286,8:00:00
6203-98957,5:30:00
51966-277747,5:00:00
26036-233664,4:30:00
79565-103281,6:00:00
6441-51299,5:00:00
14815-128424,5:00:00
15747-159125,5:00:00
6330-9133,5:00:00
74630-90281,6:00:00
55349-279467,6:00:00
48566-263784,5:00:00
53861-277749,5:30:00
27457-201744,6:00:00
6341-13118,4:30:00
6374-292075,5:00:00
76422-91784,8:00:00
76607-97998,8:00:00
6393-240865,5:30:00
9374-231487,5:00:00
17085-164844,4:30:00
72527-98032,6:00:00
13963-100309,5:00:00
23258-222224,5:00:00
13390-104132,5:00:00
6620-84301,5:00:00
26247-244110,6:00:00
56682-290440,10:30:00
29842-255323,8:00:00
6808-83061,10:00:00
50870-253031,6:00:00
64803-299000,6:00:00
20490-189289,6:00:00
74613-103614,6:00:00
6247-1008,5:00:00
6237-648,5:00:00
10879-102900,5:00:00
6401-26967,5:30:00
3077-125813,6:00:00
683-1358,5:00:00
48923-265684,5:00:00
14912-156110,6:00:00
9671-97446,5:00:00
10527-87880,5:00:00
6276-1251,5:00:00
678-240344,5:30:00
76155-90357,8:00:00
20137-153670,5:30:00
13022-149945,6:00:00
6504-63599,5:00:00
6322-256864,7:00:00
76586-98282,8:00:00
684-1362,6:00:00
17214-164865,4:30:00
681-1356,5:00:00
72941-86589,6:00:00
10984-103106,5:00:00
47959-259691,6:00:00
28763-250874,5:00:00
47968-250765,6:00:00
57621-290752,5:00:00
23608-224628,6:00:00
20002-191144,5:00:00
54421-286436,8:00:00
26997-245828,6:00:00
58704-292891,4:30:00
2920-92880,4:30:00
50893-271093,8:00:00
11572-104609,5:00:00
58308-292279,5:00:00
10760-101874,5:30:00
24530-235844,5:00:00
52139-279544,6:00:00
47958-259687,6:00:00
13841-106848,4:30:00
19561-197872,7:00:00
21902-212806,6:00:00
10334-99941,5:00:00
51257-274764,6:00:00
48290-260684,5:00:00
2936-93489,5:00:00
52587-274684,6:00:00
28787-242937,6:00:00
55848-288591,8:00:00
10416-100811,5:00:00
47270-245230,6:00:00
73689-129333,6:00:00
76940-130867,8:00:00
7487-8065,5:30:00
6155-147766,7:00:00
13663-105560,5:30:00
7724-184784,5:30:00
59259-291215,7:00:00
52028-279769,8:00:00
20189-198987,6:00:00
9936-92061,5:30:00
29083-248385,7:00:00
10987-102434,5:30:00
65230-299494,6:00:00
23129-225125,5:30:00
7264-843,5:30:00
64871-297080,5:30:00
75417-103337,7:00:00
75462-106438,11:00:00
3970-132973,6:00:00
724-286036,5:30:00
70304-121150,7:30:00
75985-103385,7:00:00
63314-294185,6:30:00
76963-128688,8:00:00
61570-295100,5:30:00
17583-183204,7:00:00
7856-289181,5:30:00
76323-95678,8:00:00
7604-5144,5:30:00
23643-219546,5:00:00
22416-216611,5:30:00
16488-157132,7:00:00
13912-108661,5:00:00
13550-103148,5:30:00
22590-221945,7:00:00
76866-116965,8:00:00
49563-264852,5:30:00
76976-136632,8:00:00
62887-294412,5:00:00
745-286042,5:30:00
51574-274706,7:00:00
58840-292478,5:30:00
14196-112564,5:00:00
76324-95681,8:00:00
7919-225108,5:30:00
51570-274293,7:00:00
21880-207024,7:00:00
22160-101886,7:00:00
14272-117365,5:30:00
7757-292971,5:30:00
76526-97495,8:00:00
7857-240996,5:00:00
76953-128689,8:00:00
51571-274289,7:00:00
738-240527,5:30:00
51572-274292,7:00:00
76861-116464,8:00:00
10985-294735,5:30:00
51569-274288,7:00:00
13774-106170,5:30:00
9315-53399,5:30:00
79325-103050,6:00:00
3259-1855,4:00:00
74979-97829,6:00:00
393-220,5:00:00
8702-94287,4:30:00
63834-298139,6:00:00
3392-76380,4:30:00
50201-271144,6:00:00
73783-118004,6:00:00
14124-105906,5:00:00
79598-97470,6:00:00
10533-100814,6:00:00
74177-29895,6:00:00
10763-102131,4:30:00
74224-50699,6:00:00
73684-104216,6:00:00
3256-284324,4:00:00
26749-101217,6:00:00
8088-139830,6:00:00
52371-127824,7:00:00
23888-233393,7:00:00
3229-827,6:00:00
79773-100331,6:00:00
3295-2805,5:30:00
18628-193714,4:30:00
19133-198766,6:00:00
73197-21687,6:00:00
8848-93589,6:30:00
57564-291689,5:00:00
29236-101220,6:00:00
3215-287,4:30:00
74354-86101,6:00:00
10655-94492,5:30:00
3356-40986,5:30:00
79242-98130,6:00:00
28907-249306,4:30:00
23310-225007,5:00:00
2921-78441,4:00:00
23881-233392,7:00:00
47597-258976,6:00:00
63602-297938,5:00:00
3271-246405,3:30:00
3813-78203,3:30:00
323-291966,5:00:00
14101-112126,4:00:00
9938-94487,5:00:00
25975-239806,6:00:00
79794-84473,5:30:00
8740-94503,3:30:00
3395-70360,4:30:00
73155-21463,6:00:00
26735-244827,5:00:00
72577-108238,6:00:00
79402-103071,6:00:00
3406-196584,4:30:00
72792-83341,6:00:00
10059-99284,5:00:00
3375-220504,5:00:00
56268-289037,7:00:00
74111-22843,6:00:00
3275-2787,5:00:00
22179-101962,6:00:00
10178-100024,5:00:00
379-204,3:30:00
5109-148124,7:00:00
24890-237501,7:00:00
14043-108070,4:30:00
13509-104615,5:00:00
10291-99827,4:30:00
72229-35299,5:00:00
74185-35859,6:00:00
74134-26787,6:00:00
61744-295339,5:30:00
2938-186585,5:00:00
47493-257984,5:30:00
57324-290297,4:30:00
11671-104561,4:30:00
73418-26487,6:00:00
483-12793,5:30:00
74945-102655,6:00:00
17940-153464,5:00:00
72791-57759,6:00:00
74390-77221,6:00:00
58106-127828,8:00:00
344-224,9:30:00
10623-101579,5:00:00
74915-101604,6:00:00
14030-108069,5:00:00
3405-83782,5:00:00
9379-103131,5:00:00
53069-281565,6:30:00
19192-192644,5:00:00
8616-94042,5:00:00
57233-291229,5:00:00
56926-289577,8:00:00
2903-92686,5:00:00
60644-294847,5:00:00
10304-100160,4:30:00
10535-100818,5:00:00
13679-107448,5:00:00
2883-93174,5:00:00
10624-101632,5:00:00
76388-97001,8:00:00
59799-291016,8:00:00
13800-108215,5:00:00
50038-271948,7:00:00
29281-253126,5:00:00
16963-177070,8:00:00
2602-272164,5:00:00
61137-294894,5:00:00
76528-99201,8:00:00
47109-248449,5:00:00
10992-103191,5:00:00
10305-100156,5:00:00
59261-291179,6:30:00
20334-204768,8:00:00
52061-280690,5:00:00
10772-101748,5:30:00
2960-85962,5:30:00
21849-215404,8:00:00
3426-240988,5:30:00
10771-102253,5:30:00
61244-293908,5:30:00
9809-97244,5:30:00
63849-296629,6:30:00
58324-288888,7:00:00
65358-297437,5:30:00
20585-202066,5:00:00
76796-108570,8:00:00
48351-260804,5:30:00
22803-218127,7:00:00
57036-290811,7:00:00
47255-121766,6:00:00
28815-250212,5:30:00
76396-80263,8:00:00
9544-97240,5:30:00
9864-97737,4:30:00
10256-97305,4:30:00
53803-285610,4:30:00
2996-241584,4:30:00
56241-288652,8:00:00
23108-221044,4:30:00
8944-94756,0:00:00
66067-299600,5:00:00
9346-292123,4:00:00
10346-100564,4:30:00
57543-290626,4:30:00
22997-226184,5:00:00
11777-255105,4:30:00
10344-101112,4:30:00
11465-105235,4:30:00
11226-104852,4:30:00
13221-106687,5:30:00
56884-290078,5:00:00
51630-278773,4:30:00
10222-99070,4:30:00
5535-728,4:30:00
7956-95418,4:30:00
19087-193606,5:30:00
16928-172185,4:45:00
26137-242689,4:30:00
72305-4330,4:00:00
59500-293649,4:00:00
75810-94544,6:00:00
26529-239124,6:00:00
75628-38879,5:00:00
29552-253805,5:00:00
20401-196507,6:00:00
14211-113350,4:30:00
5244-318,4:30:00
25813-241711,5:00:00
62026-295310,4:30:00
27526-235424,8:00:00
22881-225524,5:00:00
25054-238704,4:30:00
5785-5892,5:30:00
8608-93890,4:30:00
9545-96910,4:30:00
52505-281965,4:30:00
18449-179546,6:00:00
74581-83081,6:00:00
5095-146865,8:00:00
49425-266068,4:30:00
49341-237439,5:00:00
60446-293259,11:00:00
79706-98880,6:00:00
10149-99154,5:00:00
73956-124170,6:00:00
13950-108407,5:30:00
2701-83423,5:00:00
2393-234825,5:00:00
23620-229304,6:00:00
75403-102990,6:30:00
8921-95320,5:30:00
76927-129164,8:00:00
2360-99222,7:00:00
13344-106329,5:30:00
2377-8328,5:30:00
22800-223906,7:00:00
2828-204144,6:00:00
76232-90432,9:00:00
2725-86521,5:30:00
13443-106854,5:30:00
2581-33399,6:00:00
9561-96533,5:00:00
8920-95319,5:30:00
2758-86683,5:00:00
9951-99002,5:30:00
72638-32281,7:00:00
72157-8810,7:00:00
47275-137465,7:00:00
2538-293136,5:00:00
22798-223913,7:00:00
8123-95318,5:30:00
13618-97252,5:00:00
51691-272906,6:00:00
29202-252185,5:00:00
10737-102277,5:00:00
72831-74324,6:30:00
50164-272907,6:30:00
27562-246587,7:00:00
2459-263831,9:00:00
13376-106188,4:30:00
8871-95046,6:00:00
20739-202464,7:30:00
2551-43380,5:30:00
2497-27287,5:00:00
2437-12308,6:00:00
58453-288636,7:00:00
2429-15575,5:00:00
75958-101096,6:30:00
56238-288807,8:00:00
51861-279325,7:00:00
51734-270951,5:30:00
49734-244693,7:00:00
75509-42039,6:30:00
16066-104518,6:30:00
13771-107301,5:00:00
24089-231432,5:00:00
9964-99109,5:30:00
74428-83263,6:00:00
52020-280270,6:00:00
76980-136634,8:00:00
21355-210584,7:30:00
29079-244532,6:00:00
79752-123724,6:00:00
13420-105900,5:30:00
11566-103497,10:30:00
29570-254297,5:00:00
21543-164867,5:00:00
17371-171064,5:00:00
28129-245585,8:00:00
29766-248916,5:00:00
9301-84084,5:00:00
8102-95794,5:00:00
56519-290344,9:00:00
19967-164927,5:00:00
2956-91440,5:00:00
76671-104559,8:00:00
23356-199904,5:00:00
76697-102495,8:00:00
76498-100227,8:00:00
14223-116007,5:00:00
9893-98527,5:00:00
21186-209759,6:00:00
19112-177185,5:00:00
76581-101598,8:00:00
10410-99557,5:00:00
52758-282926,6:00:00
29566-254291,5:30:00
10055-96383,5:00:00
26225-237589,6:00:00
59400-293029,5:00:00
13643-107651,5:30:00
72466-10319,6:30:00
21797-215384,8:00:00
19997-178306,8:00:00
64634-294985,5:00:00
61288-294786,11:00:00
25466-230609,9:00:00
26581-239192,5:30:00
63433-296792,5:00:00
63033-295621,8:00:00
13566-249307,5:00:00
76249-95028,8:00:00
75951-77281,6:30:00
22364-193144,9:00:00
21729-196765,5:30:00
11396-105347,6:00:00
8366-17075,5:30:00
75570-71581,6:00:00
26456-222744,9:00:00
72643-32301,8:00:00
8263-1243,6:00:00
11039-103522,5:30:00
23760-222925,5:00:00
63941-297300,5:00:00
19455-193146,9:00:00
61680-295612,7:00:00
21609-196364,5:00:00
59070-289913,6:00:00
60954-290991,6:00:00
22048-194450,6:00:00
56768-274184,6:00:00
19811-116532,9:00:00
22894-212350,7:30:00
70344-139287,8:00:00
52486-278394,6:00:00
78029-116531,9:00:00
13942-107984,10:30:00
75812-96091,6:00:00
19324-188524,6:00:00
75858-99643,6:00:00
56502-290157,11:00:00
8247-272809,5:30:00
8556-53219,10:00:00
11402-105390,10:00:00
54063-281687,11:00:00
14254-113074,5:00:00
76102-78190,8:00:00
14449-122584,5:00:00
5383-1153,5:00:00
74762-98340,6:00:00
5648-1811,5:00:00
535-480,5:00:00
5881-231045,5:00:00
582-212444,5:00:00
5513-295367,5:00:00
5514-1448,5:30:00
76198-94545,8:00:00
74686-96297,6:00:00
20839-185185,5:00:00
5860-29255,5:00:00
6594-64802,5:00:00
23004-226864,4:30:00
6980-86481,5:00:00
19848-168484,5:00:00
75980-98881,6:00:00
610-325,5:30:00
15554-161368,6:00:00
5380-673,5:30:00
5735-8709,5:00:00
25717-241971,4:30:00
14995-156785,8:00:00
8617-93468,5:00:00
5657-1751,5:30:00
13286-106226,4:30:00
9385-96258,5:00:00
19571-190724,4:30:00
47266-253492,5:00:00
26031-243127,5:00:00
3941-141830,8:00:00
577-226,5:00:00
52041-279765,7:00:00
54318-285611,6:00:00
74522-60799,6:00:00
6746-77940,4:30:00
23261-228525,4:30:00
59069-289793,7:00:00
537-481,5:30:00
649-383,4:30:00
74571-79835,6:00:00
56285-286643,7:00:00
5266-693,4:30:00
13828-108023,5:00:00
47043-253566,5:00:00
76219-93184,8:00:00
67779-302544,10:00:00
63876-294975,5:00:00
8436-276665,5:00:00
2964-239093,5:00:00
76368-97220,8:00:00
11345-101764,6:30:00
9695-271184,5:30:00
49905-268889,5:30:00
14678-115065,5:00:00
76889-97603,8:00:00
11344-104461,5:00:00
8278-136430,5:30:00
75449-106095,7:00:00
2816-85943,5:00:00
8648-203906,5:30:00
59502-292700,6:30:00
27735-248544,5:00:00
21823-206684,5:00:00
56259-288831,8:00:00
8339-272135,5:30:00
76114-79325,8:00:00
11609-104748,5:30:00
8576-82240,6:00:00
47044-253565,5:00:00
27975-249105,5:30:00
19899-197804,5:30:00
8647-93470,5:30:00
54677-283066,8:00:00
59823-293018,11:00:00
55245-253889,5:30:00
50092-257404,5:30:00
17086-169744,5:30:00
8368-15653,5:30:00
20115-185804,5:30:00
13240-106100,5:30:00
50890-271257,8:00:00
53616-267244,7:00:00
8226-996,5:30:00
8316-5449,5:30:00
56500-286012,8:00:00
8380-12122,6:00:00
8566-79262,5:30:00
49266-238016,7:00:00
8550-74720,5:30:00
13642-105164,5:30:00
22710-222689,5:00:00
22709-222704,5:00:00
13889-107789,5:30:00
61257-293949,5:30:00
52893-237466,8:00:00
66785-296506,6:00:00
8870-94803,5:30:00
76732-104470,8:00:00
8122-94802,5:30:00
8121-94805,5:30:00
56633-289945,5:00:00
49730-265584,7:00:00
60506-291814,5:30:00
76313-95701,8:00:00
10449-98524,5:00:00
63614-297937,7:00:00
74400-83386,6:00:00
29026-251944,5:00:00
6067-145466,6:00:00
19168-178224,5:00:00
17467-176604,6:00:00
79642-111047,6:00:00
5008-153924,6:00:00
74290-74771,6:00:00
10799-101144,5:00:00
74416-88963,6:00:00
24883-200585,6:00:00
52453-281964,5:00:00
74418-83388,6:00:00
15491-155987,8:00:00
6767-79220,5:00:00
63248-297550,4:30:00
11242-103576,5:00:00
63875-296345,5:00:00
8643-84961,5:00:00
79703-125804,5:30:00
5891-33499,6:00:00
11470-105119,5:00:00
6928-87651,5:00:00
61581-293601,7:30:00
9867-98125,5:30:00
9473-96826,4:30:00
11832-105886,4:30:00
6969-87653,4:30:00
13935-108365,4:30:00
8712-94224,5:00:00
5313-219484,4:30:00
62426-295988,4:30:00
6875-84940,4:30:00
17847-183164,4:30:00
10108-99624,5:00:00
72904-95378,6:00:00
8980-95211,5:00:00
5985-213964,4:30:00
74910-101839,6:00:00
61777-295992,4:30:00
58277-292118,4:30:00
64901-298258,4:30:00
9741-84962,5:00:00
24587-235447,8:00:00
25093-237904,4:30:00
10662-96931,4:00:00
76495-99395,8:00:00
3462-92384,4:30:00
6686-68081,8:00:00
72771-67562,6:00:00
9417-95209,4:30:00
76162-88888,8:00:00
66096-108386,4:30:00
11090-103493,5:00:00
5964-292701,4:30:00
11089-102680,4:30:00
76906-121301,8:00:00
10775-102223,6:00:00
53956-286023,4:00:00
10997-102687,4:30:00
6899-84501,4:30:00
24597-235450,8:00:00
59960-293987,4:30:00
5745-252211,4:30:00
9514-97070,5:00:00
14564-122030,5:30:00
55737-233571,8:00:00
10067-98363,5:30:00
13431-271724,5:30:00
26123-230224,5:30:00
75326-101186,8:00:00
26634-239365,8:00:00
75436-106972,7:30:00
13612-107466,5:30:00
65580-299448,6:00:00
14256-129404,4:30:00
27509-245204,5:30:00
2443-18979,6:00:00
14553-131784,5:30:00
10506-247558,5:00:00
72128-3828,6:00:00
76183-88408,8:00:00
23956-230847,6:00:00
2636-64864,5:00:00
2492-25587,4:30:00
11125-104195,5:30:00
24763-237599,6:00:00
2494-27087,5:00:00
228-1407,5:00:00
59452-293330,6:00:00
217-1403,5:30:00
16696-73173,5:30:00
2218-635,5:00:00
2369-8625,5:30:00
49361-249567,7:00:00
2223-653,5:30:00
231-174564,5:00:00
19652-194364,8:00:00
204-247205,5:30:00
9426-89861,5:00:00
272-1459,5:00:00
20797-208104,5:00:00
2207-537,5:30:00
76131-79756,8:00:00
206-1399,5:30:00
23953-232510,6:00:00
26368-241594,5:00:00
2370-8852,4:30:00
65752-299931,5:00:00
51211-277486,5:30:00
48513-263566,5:30:00
22423-216844,5:30:00
227-1406,5:00:00
2449-20519,5:00:00
48615-264052,5:00:00
53013-276646,6:00:00
48134-261308,6:00:00
14433-124124,5:00:00
2401-13787,5:30:00
236-1411,5:00:00
2527-32799,5:00:00
49431-269009,5:00:00
11048-103360,5:30:00
2510-32379,5:00:00
65830-299146,7:00:00
14476-125464,5:30:00
9435-96179,6:00:00
76489-96277,8:00:00
62079-251703,6:00:00
2277-1077,5:00:00
19558-194327,8:00:00
49998-272104,5:00:00
9478-97016,6:00:00
2872-270067,6:00:00
25621-241324,6:00:00
60045-292779,7:00:00
4669-100547,6:00:00
63702-296728,8:30:00
2435-278994,6:00:00
76518-99377,8:00:00
15748-147045,5:00:00
49997-272134,5:30:00
57272-291259,5:00:00
76380-97133,8:00:00
2742-245719,6:30:00
79497-104349,6:00:00
63852-297487,7:00:00
51781-267374,7:00:00
22169-207844,6:00:00
66588-300402,5:00:00
57075-291044,6:00:00
4583-96408,6:00:00
4332-1980,10:00:00
76786-102484,8:00:00
23871-232464,5:00:00
48889-260444,6:00:00
4557-95792,6:30:00
76621-99390,8:00:00
10561-101454,6:00:00
4744-103299,6:00:00
9989-99169,6:00:00
29717-253959,8:30:00
61471-293445,6:30:00
51888-279205,8:00:00
23882-231808,5:30:00
50769-276005,6:30:00
57780-291735,6:30:00
76519-96276,8:00:00
76880-122184,8:00:00
72566-90413,6:00:00
56075-289342,5:30:00
53864-281673,6:00:00
76877-122186,8:00:00
25782-238004,6:00:00
9837-97946,6:00:00
76872-121298,7:00:00
19670-177444,5:00:00
57276-290707,7:00:00
2651-53179,5:30:00
25605-241527,6:00:00
48135-261124,6:00:00
22356-217608,6:00:00
22985-226225,6:00:00
2629-56500,5:00:00
49049-264325,6:00:00
57461-291476,5:30:00
26922-241344,6:00:00
2710-201566,5:00:00
2668-71301,5:30:00
61397-295662,5:30:00
72858-93904,6:00:00
72631-32239,7:00:00
72602-22923,7:00:00
23161-216033,5:00:00
2933-84780,5:30:00
76594-95693,7:00:00
72600-22901,7:00:00
79458-93202,7:00:00
8612-93752,5:00:00
72964-94677,6:00:00
79491-106608,6:00:00
76820-110953,7:00:00
63940-298436,5:00:00
72846-92953,7:00:00
25426-217689,6:00:00
11529-103989,5:00:00
73741-105734,6:00:00
61319-292936,5:30:00
56541-290279,6:00:00
56588-286236,5:00:00
48930-265566,5:30:00
76410-95692,8:00:00
17697-185244,8:00:00
72948-97644,7:00:00
26889-217690,13:00:00
62738-294656,7:00:00
50477-258124,6:00:00
10276-97970,5:30:00
75366-101741,6:30:00
55082-103967,6:00:00
70347-138925,8:00:00
17525-173965,5:30:00
79454-98324,6:00:00
21286-208984,6:00:00
76890-121288,8:00:00
26173-243758,5:30:00
8926-95386,5:30:00
59342-293532,5:30:00
10519-100532,5:30:00
6880-68363,5:30:00
6797-293857,5:30:00
10570-276653,5:30:00
22602-222605,5:30:00
13634-106982,5:30:00
6736-75785,5:30:00
19781-165486,5:00:00
3439-92000,5:30:00
26175-243757,5:30:00
19312-200385,8:00:00
22603-222606,4:30:00
5110-143885,7:00:00
11936-104883,5:30:00
11288-103408,5:30:00
72671-65001,7:00:00
60982-294723,5:30:00
11197-102123,5:30:00
54432-285673,5:30:00
70354-139507,8:00:00
24934-239193,5:00:00
11145-103489,6:00:00
76492-98015,8:00:00
28170-250344,5:30:00
52234-277756,5:30:00
59298-293349,6:00:00
13206-107099,5:30:00
76879-121628,8:00:00
25967-242726,6:00:00
59224-292652,4:30:00
74975-101172,6:00:00
74292-74769,6:00:00
29702-254211,4:30:00
75225-79983,6:00:00
79580-105116,6:00:00
11218-102230,4:30:00
20215-200588,6:00:00
48440-263145,4:30:00
74229-59079,6:00:00
65443-299021,6:00:00
8853-291985,4:30:00
21400-212347,6:00:00
73707-106060,6:00:00
76874-121625,8:00:00
25812-241707,4:00:00
61993-295818,4:00:00
74360-83382,6:00:00
72564-102069,6:00:00
48693-105418,7:00:00
57475-290248,6:00:00
58630-292209,4:00:00
54835-286763,3:30:00
63613-296432,6:00:00
7137-150410,6:00:00
73965-138186,6:00:00
23573-230686,6:00:00
76301-96596,8:00:00
9588-96089,4:30:00
14225-108521,4:00:00
58302-291865,4:30:00
60833-293213,6:00:00
19282-181688,4:00:00
48576-263526,4:00:00
73849-118684,6:00:00
73702-106030,6:00:00
76302-96624,8:00:00
29379-251913,4:00:00
6756-70860,4:30:00
53660-283182,6:00:00
72565-103444,6:00:00
56909-290579,8:00:00
48890-245841,6:00:00
9413-95026,4:30:00
11889-105156,4:30:00
72536-102068,6:00:00
51996-273925,6:00:00
73578-74774,6:00:00
5610-244258,4:30:00
11891-103701,4:30:00
22387-167244,6:00:00
5966-298280,4:30:00
74237-64179,6:00:00
60027-293370,4:00:00
20665-204611,8:00:00
62895-296431,6:00:00
55374-288618,9:00:00
74792-94835,6:00:00
48577-263527,4:30:00
47254-247326,6:00:00
13484-107641,5:00:00
25984-239415,6:00:00
5672-2704,4:30:00
73701-106036,6:00:00
13350-104737,5:00:00
17862-134219,6:00:00
19500-201864,6:30:00
7383-1554,5:30:00
51883-273304,7:00:00
76238-90970,8:00:00
7348-1370,6:00:00
47020-256344,5:30:00
27446-247389,5:30:00
62223-295500,5:30:00
14479-123745,6:00:00
27849-248907,6:30:00
57966-249616,6:30:00
58325-292364,7:30:00
25273-238412,5:00:00
7466-6651,6:00:00
53473-285598,6:00:00
14841-127064,6:00:00
7788-64366,6:00:00
15751-162574,6:00:00
7244-646,6:30:00
7920-88803,6:00:00
7416-834,6:00:00
11649-105788,5:30:00
14318-119964,6:00:00
7566-13122,6:00:00
849-2059,6:00:00
7626-33939,6:30:00
7493-6648,5:30:00
10282-100718,6:30:00
18030-80216,8:00:00
7781-50879,6:00:00
11934-106845,6:30:00
20154-203326,6:30:00
16627-169964,5:30:00
60440-294082,7:00:00
7680-36959,6:30:00
54878-285861,7:00:00
14219-116045,6:30:00
7547-14071,6:00:00
854-2051,6:00:00
7489-4450,6:00:00
847-591,6:30:00
59524-293646,5:30:00
47906-260268,8:00:00
57611-290266,8:00:00
15461-158185,5:30:00
7497-8627,6:30:00
75194-74840,7:00:00
7255-694,5:30:00
78087-125110,6:00:00
61935-294870,5:30:00
22113-217692,6:00:00
73974-113205,6:00:00
57361-288339,6:00:00
28851-250984,5:00:00
72888-254885,6:00:00
70385-107530,6:00:00
50367-274124,5:00:00
73927-98066,6:00:00
54164-284288,7:00:00
50887-276464,6:00:00
3967-98055,6:00:00
27876-245464,5:00:00
4184-98065,6:00:00
19011-197245,6:00:00
79298-98061,6:00:00
29388-253485,5:00:00
65045-299248,6:00:00
76409-95670,8:00:00
72992-97702,7:00:00
22309-216224,5:30:00
72571-98062,7:00:00
63709-298255,6:00:00
19373-201168,6:00:00
58900-292515,5:30:00
2862-83232,5:00:00
79222-98063,6:00:00
49575-269344,7:00:00
63220-297406,5:00:00
8585-82303,6:00:00
19919-202925,8:00:00
3921-145304,7:00:00
25333-237535,7:00:00
28688-237571,7:00:00
73885-132946,7:00:00
59002-292519,5:00:00
59071-293073,7:00:00
48422-262924,5:00:00
15941-145305,7:00:00
54439-285984,6:00:00
79308-98053,7:00:00
3922-98060,7:00:00
47134-254874,6:00:00
3944-147046,7:00:00
73930-135204,7:00:00
63423-297335,6:00:00
73925-98097,7:00:00
55144-285765,5:30:00
55094-286291,7:00:00
51554-248885,7:00:00
75441-106538,7:00:00
66284-293529,7:00:00
18447-186744,7:00:00
66895-300726,7:00:00
65049-298966,6:00:00
52140-280280,7:00:00
23323-217687,7:00:00
51182-277289,7:00:00
61767-296116,6:00:00
13505-106987,8:00:00
73873-102993,8:30:00
8555-65602,7:00:00
16319-165208,7:00:00
60696-294289,6:00:00
65575-299453,7:00:00
29817-255233,7:00:00
17933-186984,7:00:00
65570-299999,6:00:00
22313-215029,7:00:00
61272-293246,8:00:00
24260-236565,5:30:00
73904-108009,6:00:00
9556-94235,5:00:00
11118-104214,5:30:00
76760-108189,8:00:00
47388-257447,5:30:00
11552-105187,6:00:00
11350-104272,6:00:00
72551-101501,6:00:00
76451-97610,8:00:00
10195-97556,5:30:00
79354-100126,6:00:00
65072-296701,5:00:00
55371-286751,5:00:00
75351-99824,6:30:00
26454-230632,7:00:00
50269-270884,5:00:00
49033-244525,5:00:00
64929-297358,5:00:00
21271-210268,6:00:00
79216-97112,6:00:00
26580-242147,5:00:00
23933-230644,7:30:00
11551-100551,6:00:00
